Texto,Sentimiento,ciudad,Experiencia,Fecha,fuente
Free tour por la Barceloneta y el parque de la Ciudadela,Bueno,Barcelona,playa,,Civitatis
Entrada al Recinto Modernista de Sant Pau,Bueno,Barcelona,cultura,,Civitatis
Visita nocturna y espectáculo en La Pedrera,Bueno,Barcelona,tour,,Civitatis
Paseo en Las Golondrinas por el puerto de Barcelona,Bueno,Barcelona,tour,,Civitatis
"Tour de Dalí por Cadaqués, Figueras y Portlligat en grupo reducido",Bueno,Barcelona,tour,,Civitatis
Free tour por el exterior de la Sagrada Familia,Bueno,Barcelona,cultura,,Civitatis
Tour privado en tuk tuk por Barcelona,Bueno,Barcelona,cultura,,Civitatis
Tour de La Sombra del Viento,Bueno,Barcelona,tour,,Civitatis
Paseo en velero por Barcelona,Bueno,Barcelona,playa,,Civitatis
Excursión a Tossa de Mar,Desconocido,Barcelona,playa,,Civitatis
Visita guiada por el Spotify Camp Nou,Bueno,Barcelona,deporte,,Civitatis
"Excursión a Gerona, Pals y Calella en grupo reducido",Bueno,Barcelona,playa,,Civitatis
Free tour por El Raval,Bueno,Barcelona,museo,,Civitatis
Excursión a PortAventura,Bueno,Barcelona,ocio,,Civitatis
Espectáculo flamenco en el tablao Los Tarantos,Bueno,Barcelona,museo,,Civitatis
"Excursión a Vic, Besalú, Santa Pau y Castellfollit de la Roca en grupo reducido",Bueno,Barcelona,playa,,Civitatis
Paseo en goleta con música,Bueno,Barcelona,museo,,Civitatis
Entrada a L’Aquàrium de Barcelona,Bueno,Barcelona,ocio,,Civitatis
Excursión a Montserrat + Visita a una bodega de cava del Penedés en grupo reducido,Bueno,Barcelona,comida,,Civitatis
Excursión a Montserrat + Visita a una bodega,Bueno,Barcelona,comida,,Civitatis
Free tour de la Guerra Civil española,Bueno,Barcelona,tour,,Civitatis
Degustación de vinos y quesos en Barcelona,Bueno,Barcelona,comida,,Civitatis
"Barcelona por tierra, mar y aire",Bueno,Barcelona,tour,,Civitatis
Espectáculo flamenco en el Tablao Cordobés,Bueno,Barcelona,cultura,,Civitatis
Free tour por El Born,Bueno,Barcelona,cultura,,Civitatis
Paseo por El Born con cena de tapas y espectáculo flamenco,Bueno,Barcelona,cultura,,Civitatis
Entrada al Museo Moco de Barcelona,Bueno,Barcelona,museo,,Civitatis
Cata de jamón ibérico en Barcelona,Bueno,Barcelona,comida,,Civitatis
Visita guiada por la Catedral de Barcelona + Acceso a la terraza,Bueno,Barcelona,cultura,,Civitatis
Tour por el barrio judío de Barcelona,Bueno,Barcelona,cultura,,Civitatis
Tour por la Barcelona masónica,Bueno,Barcelona,tour,,Civitatis
Tour por la Barcelona medieval,Bueno,Barcelona,cultura,,Civitatis
Tour privado por la Sagrada Familia,Bueno,Barcelona,cultura,,Civitatis
Entrada al Palau de la Música Catalana,Bueno,Barcelona,museo,,Civitatis
Entrada al mirador de la Torre Glòries,Bueno,Barcelona,cultura,,Civitatis
Free tour de la Inquisición por Barcelona,Bueno,Barcelona,cultura,,Civitatis
Visita guiada por la Casa Vicens,Bueno,Barcelona,tour,,Civitatis
Tour de los fantasmas de Barcelona,Bueno,Barcelona,tour,,Civitatis
Visita guiada por el Museo Picasso,Bueno,Barcelona,museo,,Civitatis
Excursión a Montserrat con almuerzo en una masía,Bueno,Barcelona,cultura,,Civitatis
Trekking por Montserrat y visita al monasterio,Bueno,Barcelona,cultura,,Civitatis
Excursión a Tossa de Mar + Buceo o kayak,Bueno,Barcelona,deporte,,Civitatis
"Gerona, escenario de Juego de Tronos",Bueno,Barcelona,tour,,Civitatis
Entrada al Museo de las Ilusiones de Barcelona,Bueno,Barcelona,museo,,Civitatis
Entrada a la Casa Vicens,Bueno,Barcelona,cultura,,Civitatis
Free tour por la Barcelona romana,Bueno,Barcelona,tour,,Civitatis
Entrada al Museo Olímpico de Barcelona,Bueno,Barcelona,museo,,Civitatis
Excursión a PortAventura Park y Ferrari Land,Bueno,Barcelona,tour,,Civitatis
Entrada al Big Fun Museum,Bueno,Barcelona,museo,,Civitatis
Entrada al Museo Banksy de Barcelona,Bueno,Barcelona,museo,,Civitatis
Entrada al Museo de Cera de Barcelona,Bueno,Barcelona,museo,,Civitatis
Pub Crawl ¡Tour de fiesta por Barcelona!,Bueno,Barcelona,vida nocturna,,Civitatis
Entrada al Zoo de Barcelona,Bueno,Barcelona,ocio,,Civitatis
Entrada al Museo Erótico de Barcelona,Bueno,Barcelona,museo,,Civitatis
Visita guiada por los jardines de La Tamarita,Bueno,Barcelona,tour,,Civitatis
Juego de pistas en Barcelona: Los fantasmas del Barrio Gótico,Bueno,Barcelona,cultura,,Civitatis
Entrada al Museo Egipcio de Barcelona,Bueno,Barcelona,museo,,Civitatis
Entrada a White Rabbit,Bueno,Barcelona,museo,,Civitatis
Entrada al Museo de Historia de Cataluña,Bueno,Barcelona,museo,,Civitatis
Barcelona Card,Bueno,Barcelona,otro,,Civitatis
Hola Barcelona Travel Card,Bueno,Barcelona,otro,,Civitatis
Entrada a la Sinagoga Mayor de Barcelona,Desconocido,Barcelona,cultura,,Civitatis
Barcelona Night Card ¡Discotecas gratis!,Neutro,Barcelona,vida nocturna,,Civitatis
Entrada a Marineland Catalunya,Desconocido,Barcelona,ocio,,Civitatis
Tour de compras a La Roca Village,Bueno,Barcelona,tour,,Civitatis
Go City: Barcelona All-Inclusive Pass,Bueno,Barcelona,tour,,Civitatis
Go City: Barcelona Explorer Pass,Bueno,Barcelona,otro,,Civitatis
Montserrat por libre en autobús,Bueno,Barcelona,cultura,,Civitatis
Oferta: Montserrat + Sagrada Familia,Bueno,Barcelona,cultura,,Civitatis
Tour en bicicleta eléctrica por Barcelona,Bueno,Barcelona,cultura,,Civitatis
Tour por la Colonia Güell y Cripta de Gaudí,Bueno,Barcelona,cultura,,Civitatis
Entrada a Colonia Güell,Bueno,Barcelona,cultura,,Civitatis
Excursión privada desde Barcelona,Neutro,Barcelona,tour,,Civitatis
Tour en 4x4 por los viñedos del Penedés,Bueno,Barcelona,comida,,Civitatis
Autobús turístico de Barcelona + Paseo en catamarán,Bueno,Barcelona,tour,,Civitatis
Paseo en globo por el Montseny,Bueno,Barcelona,tour,,Civitatis
Tour de Barcelona para Instagram,Bueno,Barcelona,tour,,Civitatis
Paseo a caballo por Montserrat,Bueno,Barcelona,tour,,Civitatis
"Entrada al MACBA, el Museo de Arte Contemporáneo",Bueno,Barcelona,museo,,Civitatis
Entrada a KBr Fundación MAPFRE Barcelona Photo Center,Bueno,Barcelona,museo,,Civitatis
ArticketBCN,Bueno,Barcelona,museo,,Civitatis
Excursión a PortAventura Caribe Aquatic Park,Bueno,Barcelona,tour,,Civitatis
Tour de tapas por los mercados de La Boquería y Santa Caterina,Bueno,Barcelona,comida,,Civitatis
Senderismo + Kayak y snorkel por la Costa Brava,Bueno,Barcelona,deporte,,Civitatis
Visita guiada por el Museo del Turrón y el Chocolate,Bueno,Barcelona,museo,,Civitatis
Excursión a Montserrat + Paseo a caballo,Bueno,Barcelona,tour,,Civitatis
Visita guiada por La Pedrera,Bueno,Barcelona,cultura,,Civitatis
Entrada al Museo Antoni Tàpies,Bueno,Barcelona,museo,,Civitatis
Parasailing en Barcelona,Bueno,Barcelona,tour,,Civitatis
Espectáculo flamenco en Casa Sors + Visita al Museo de la Guitarra,Bueno,Barcelona,museo,,Civitatis
Autobús entre el Aeropuerto de El Prat y Barcelona,Bueno,Barcelona,otro,,Civitatis
Alquiler de moto de agua en Barcelona,Bueno,Barcelona,playa,,Civitatis
Autobús entre el Aeropuerto de Gerona y Barcelona,Desconocido,Barcelona,otro,,Civitatis
Espectáculo flamenco en el Tablao de Carmen,Bueno,Barcelona,cultura,,Civitatis
Barcelona Card Express,Bueno,Barcelona,otro,,Civitatis
Espectáculo en el Tablao Flamenco El Paraigua,Bueno,Barcelona,cultura,,Civitatis
Sesión fotográfica privada en el exterior de la Sagrada Familia,Desconocido,Barcelona,cultura,,Civitatis
Paseo en globo por Montserrat,Desconocido,Barcelona,tour,,Civitatis
Free tour navideño por Barcelona,Bueno,Barcelona,tour,,Civitatis
Visita guiada por el Laberinto de Horta,Bueno,Barcelona,tour,,Civitatis
Entrada a IKONO Barcelona,Bueno,Barcelona,museo,,Civitatis
Entrada a la Fundación Joan Miró,Bueno,Barcelona,museo,,Civitatis
Paseo en velero con aperitivo,Bueno,Barcelona,playa,,Civitatis
Tour en vespa por Barcelona,Bueno,Barcelona,tour,,Civitatis
Curso de surf en Barcelona,Desconocido,Barcelona,deporte,,Civitatis
Tour navideño en tuk tuk privado por Barcelona,Bueno,Barcelona,tour,,Civitatis
Entradas para un partido del FC Barcelona,Desconocido,Barcelona,deporte,,Civitatis
Entrada al Museo del Modernismo,Desconocido,Barcelona,museo,,Civitatis
Paseo en camello por las dunas de Maspalomas,Bueno,Gran Canaria,tour,,Civitatis
Avistamiento de cetáceos por Puerto Rico,Bueno,Gran Canaria,otro,,Civitatis
Visita guiada por el Mundo del Plátano,Bueno,Gran Canaria,comida,,Civitatis
Free tour por Las Palmas de Gran Canaria,Bueno,Gran Canaria,cultura,,Civitatis
Paseo en barco por Puerto de Mogán + Snorkel,Bueno,Gran Canaria,deporte,,Civitatis
Traslados en Gran Canaria,Bueno,Gran Canaria,hotel,,Civitatis
"Excursión a Maspalomas, Mogán y el barranco de Guayadeque",Bueno,Gran Canaria,tour,,Civitatis
"Teror, el Roque Nublo y la caldera de Bandama desde Las Palmas",Bueno,Gran Canaria,tour,,Civitatis
Catamarán por las costas de Puerto Rico,Bueno,Gran Canaria,otro,,Civitatis
Tour en buggy por Gran Canaria,Bueno,Gran Canaria,tour,,Civitatis
Entrada al acuario Poema del Mar,Bueno,Gran Canaria,ocio,,Civitatis
Visita a la destilería Arehucas,Bueno,Gran Canaria,tour,,Civitatis
Bautismo de buceo en Gran Canaria,Bueno,Gran Canaria,deporte,,Civitatis
Paseo en catamarán por la costa de Puerto Rico,Bueno,Gran Canaria,playa,,Civitatis
Kayak y snorkel en las cuevas de Taurito,Bueno,Gran Canaria,deporte,,Civitatis
Excursión al Valle de Agaete desde Las Palmas,Bueno,Gran Canaria,tour,,Civitatis
Visita guiada por el barrio de Vegueta,Bueno,Gran Canaria,cultura,,Civitatis
Fiesta en barco por Puerto Rico,Bueno,Gran Canaria,vida nocturna,,Civitatis
Tour en kayak desde la playa del Pajar,Bueno,Gran Canaria,deporte,,Civitatis
Free tour de los misterios y leyendas de Las Palmas de Gran Canaria,Bueno,Gran Canaria,tour,,Civitatis
Entrada al Cocodrilo Park Gran Canaria,Bueno,Gran Canaria,ocio,,Civitatis
Entrada a Aqualand Maspalomas,Bueno,Gran Canaria,ocio,,Civitatis
Paseo en camello por el Valle de las Mil Palmeras,Bueno,Gran Canaria,tour,,Civitatis
Excursión al Puerto de Mogán y su mercadillo,Bueno,Gran Canaria,tour,,Civitatis
Paseo a caballo por El Salobre,Bueno,Gran Canaria,tour,,Civitatis
Excursión por las cumbres de Gran Canaria,Bueno,Gran Canaria,tour,,Civitatis
Entrada a Palmitos Park,Bueno,Gran Canaria,ocio,,Civitatis
Tour por Las Palmas de Gran Canaria y caldera de Bandama,Bueno,Gran Canaria,tour,,Civitatis
Descenso de cañones en el barranco de los Cernícalos,Bueno,Gran Canaria,deporte,,Civitatis
Entrada para el espectáculo Origen en la Sala Scala,Bueno,Gran Canaria,museo,,Civitatis
Excursión por las costas de Gran Canaria,Bueno,Gran Canaria,tour,,Civitatis
Jeep safari por el sur de Gran Canaria,Bueno,Gran Canaria,ocio,,Civitatis
Autobús turístico de Las Palmas de Gran Canaria,Bueno,Gran Canaria,tour,,Civitatis
Paddle surf en Arguineguín,Bueno,Gran Canaria,deporte,,Civitatis
Tour gastronómico por Gran Canaria,Desconocido,Gran Canaria,museo,,Civitatis
Entrada a Holiday World Maspalomas,Bueno,Gran Canaria,ocio,,Civitatis
Tour por los mercadillos de Teror y San Mateo,Bueno,Gran Canaria,cultura,,Civitatis
Tour privado por Gran Canaria,Bueno,Gran Canaria,tour,,Civitatis
Tour privado por Las Palmas de Gran Canaria,Bueno,Gran Canaria,tour,,Civitatis
Vuelo en parapente por Las Palmas de Gran Canaria,Bueno,Gran Canaria,deporte,,Civitatis
Tour en bicicleta por Las Palmas de Gran Canaria,Bueno,Gran Canaria,playa,,Civitatis
Vía ferrata de San Agustín,Bueno,Gran Canaria,deporte,,Civitatis
Tour en segway por Maspalomas,Bueno,Gran Canaria,tour,,Civitatis
Excursión al Loro Parque,Bueno,Gran Canaria,tour,,Civitatis
Coasteering en Agaete,Bueno,Gran Canaria,deporte,,Civitatis
Escalada junto al Roque Nublo al atardecer,Bueno,Gran Canaria,deporte,,Civitatis
Tour en patinete eléctrico por Maspalomas,Desconocido,Gran Canaria,tour,,Civitatis
Ferry a Tenerife,Desconocido,Gran Canaria,otro,,Civitatis
Free tour por Teror,Desconocido,Gran Canaria,tour,,Civitatis
Observación de estrellas en la Ventana del Nublo,Bueno,Gran Canaria,tour,,Civitatis
Excursión por Las Palmas y Jardín Botánico Canario para cruceros,Bueno,Gran Canaria,tour,,Civitatis
Senderismo por la reserva de Güi Güi,Bueno,Gran Canaria,deporte,,Civitatis
Descenso de cañones en el barranco de la Manta,Bueno,Gran Canaria,tour,,Civitatis
Excursión a las Montañas Sagradas,Bueno,Gran Canaria,tour,,Civitatis
Senderismo por el barranco de Azuaje,Bueno,Gran Canaria,deporte,,Civitatis
Senderismo por la reserva de Inagua,Bueno,Gran Canaria,deporte,,Civitatis
Senderismo por el Roque Nublo,Bueno,Gran Canaria,deporte,,Civitatis
Ferry a Fuerteventura,Desconocido,Gran Canaria,otro,,Civitatis
Senderismo por los Azulejos de Veneguera,Desconocido,Gran Canaria,deporte,,Civitatis
Senderismo por el Arco del Coronadero,Desconocido,Gran Canaria,deporte,,Civitatis
Tour en bicicleta por Maspalomas + Degustación de tapas,Desconocido,Gran Canaria,comida,,Civitatis
Excursión a Toledo y Segovia,Bueno,Madrid,tour,,Civitatis
Visita guiada por el Palacio Real,Bueno,Madrid,cultura,,Civitatis
Excursión a Toledo de día completo con entradas,Bueno,Madrid,cultura,,Civitatis
Free tour por Madrid,Bueno,Madrid,tour,,Civitatis
Traslados en Madrid,Bueno,Madrid,hotel,,Civitatis
Excursión a Segovia y Ávila,Bueno,Madrid,tour,,Civitatis
Visita guiada por el Museo del Prado,Bueno,Madrid,museo,,Civitatis
Tour Bernabéu: entrada oficial al estadio,Bueno,Madrid,museo,,Civitatis
Visita guiada por el Museo del Prado y el Palacio Real,Bueno,Madrid,museo,,Civitatis
Excursión a Toledo de medio día,Bueno,Madrid,tour,,Civitatis
Tour de misterios y leyendas de Madrid,Bueno,Madrid,tour,,Civitatis
Tarjeta eSIM Civitatis España,Bueno,Madrid,otro,,Civitatis
Excursión a El Escorial y Valle de los Caídos,Bueno,Madrid,tour,,Civitatis
Palacio Real + Catedral de la Almudena,Bueno,Madrid,cultura,,Civitatis
Espectáculo flamenco en Torres Bermejas,Bueno,Madrid,museo,,Civitatis
Autobús turístico de Madrid,Bueno,Madrid,tour,,Civitatis
"Excursión a Toledo, Segovia y Ávila",Bueno,Madrid,cultura,,Civitatis
Free tour nocturno por Madrid,Bueno,Madrid,tour,,Civitatis
Entrada al Palacio Real,Bueno,Madrid,cultura,,Civitatis
Tour mitológico por el Museo del Prado para niños,Bueno,Madrid,museo,,Civitatis
Visita guiada por el estadio Santiago Bernabéu,Bueno,Madrid,deporte,,Civitatis
Excursión a Cuenca y la Ciudad Encantada,Bueno,Madrid,tour,,Civitatis
Entrada al Parque Warner,Bueno,Madrid,tour,,Civitatis
Entrada al Museo del Prado sin colas,Bueno,Madrid,museo,,Civitatis
Tour privado en tuk tuk por Madrid,Bueno,Madrid,tour,,Civitatis
Excursión a Salamanca y Ávila,Bueno,Madrid,tour,,Civitatis
Free tour por el Barrio de las Letras,Bueno,Madrid,cultura,,Civitatis
Excursión a Segovia,Bueno,Madrid,cultura,,Civitatis
Espectáculo en el Teatro Flamenco,Bueno,Madrid,museo,,Civitatis
Free tour de los fantasmas de Madrid,Bueno,Madrid,tour,,Civitatis
"Tour nocturno en autobús descapotable, Big Bus",Bueno,Madrid,tour,,Civitatis
Excursión a Toledo y los molinos de Consuegra,Bueno,Madrid,tour,,Civitatis
Tour privado por Madrid,Bueno,Madrid,tour,,Civitatis
Visita guiada por el Museo Reina Sofía,Bueno,Madrid,museo,,Civitatis
Free tour por el Madrid de los Borbones,Bueno,Madrid,tour,,Civitatis
"Excursión a Segovia, El Escorial y Valle de los Caídos",Bueno,Madrid,cultura,,Civitatis
Visita guiada por el Parque de El Retiro,Bueno,Madrid,museo,,Civitatis
Oferta: Museo del Prado + Reina Sofía,Bueno,Madrid,museo,,Civitatis
Free tour por Chueca y Malasaña,Bueno,Madrid,tour,,Civitatis
Excursión a Alcalá de Henares,Bueno,Madrid,tour,,Civitatis
Tour del vino por la Ribera del Duero,Bueno,Madrid,comida,,Civitatis
Excursión a Puy du Fou España y El Sueño de Toledo,Bueno,Madrid,tour,,Civitatis
Entrada al Museo de las Ilusiones de Madrid,Bueno,Madrid,museo,,Civitatis
"Entradas para El Rey León, el musical",Bueno,Madrid,otro,,Civitatis
Cena con espectáculo de ópera y zarzuela en el restaurante La Castafiore,Bueno,Madrid,comida,,Civitatis
Free tour por Lavapiés y La Latina,Bueno,Madrid,museo,,Civitatis
"Autobús turístico de Madrid, Big Bus",Bueno,Madrid,tour,,Civitatis
Excursión al Parque Warner,Bueno,Madrid,tour,,Civitatis
Espectáculo flamenco en el tablao Las Carboneras,Bueno,Madrid,cultura,,Civitatis
Visita al Palacio de Liria,Bueno,Madrid,cultura,,Civitatis
Tour por Madrid para familias,Bueno,Madrid,tour,,Civitatis
Tour en segway por el parque de El Retiro,Bueno,Madrid,tour,,Civitatis
Tour de tapas y vinos por Madrid,Bueno,Madrid,comida,,Civitatis
Entrada al Museo Reina Sofía,Bueno,Madrid,museo,,Civitatis
"Hammam Al Ándalus, un baño en la historia",Bueno,Madrid,otro,,Civitatis
Espectáculo en la cueva histórica Essential Flamenco,Bueno,Madrid,cultura,,Civitatis
Tour del estadio del Atlético de Madrid,Bueno,Madrid,museo,,Civitatis
Entrada al Museo Nacional Thyssen-Bornemisza,Bueno,Madrid,museo,,Civitatis
Visita guiada por el monasterio de las Descalzas Reales,Bueno,Madrid,cultura,,Civitatis
Free tour de la Inquisición por Madrid,Bueno,Madrid,tour,,Civitatis
Entrada al Museo de la Luz de Madrid,Bueno,Madrid,museo,,Civitatis
Visita guiada por el Real Monasterio de la Encarnación,Bueno,Madrid,museo,,Civitatis
Tour en segway por Madrid,Bueno,Madrid,tour,,Civitatis
Tour por Madrid con gafas de realidad virtual,Bueno,Madrid,tour,,Civitatis
Excursión a Toledo al completo + Cata de vinos,Bueno,Madrid,cultura,,Civitatis
Tour privado por el Palacio Real,Desconocido,Madrid,cultura,,Civitatis
Entrada a la Warner Beach,Bueno,Madrid,playa,,Civitatis
Tour por las salas de la Prehistoria o de Egipto del Museo Arqueológico,Bueno,Madrid,museo,,Civitatis
"Excursión a Toledo, Aranjuez y Chinchón",Bueno,Madrid,tour,,Civitatis
Excursión a Consuegra,Bueno,Madrid,tour,,Civitatis
Tour en bicicleta por Madrid,Bueno,Madrid,deporte,,Civitatis
Free tour por el parque El Capricho,Bueno,Madrid,tour,,Civitatis
"Abono del Paseo del Arte: museos del Prado, Thyssen y Reina Sofía",Bueno,Madrid,museo,,Civitatis
Free tour teatralizado por la Madrid paranormal,Bueno,Madrid,tour,,Civitatis
Entrada al Zoo Aquarium,Bueno,Madrid,ocio,,Civitatis
Visita guiada al Museo Nacional Thyssen-Bornemisza,Bueno,Madrid,museo,,Civitatis
Entrada para el espectáculo WAH,Bueno,Madrid,museo,,Civitatis
Visita guiada por el Museo de Historia de Madrid,Bueno,Madrid,museo,,Civitatis
Tour de Las Ventas,Bueno,Madrid,cultura,,Civitatis
Tour privado por el Museo del Prado,Bueno,Madrid,museo,,Civitatis
Tarjeta eSIM Civitatis Europa,Desconocido,Madrid,otro,,Civitatis
Entrada al museo Ikono Madrid,Bueno,Madrid,museo,,Civitatis
Free tour de las reinas de España,Bueno,Madrid,tour,,Civitatis
Entrada a Aquopolis Madrid,Bueno,Madrid,ocio,,Civitatis
Toledo por libre en autobús,Bueno,Madrid,cultura,,Civitatis
Tour por el Madrid islámico y medieval,Bueno,Madrid,tour,,Civitatis
Free tour por la Casa de Campo,Bueno,Madrid,tour,,Civitatis
Tour por las tabernas centenarias de Madrid,Bueno,Madrid,tour,,Civitatis
Show flamenco en el tablao Cardamomo,Bueno,Madrid,museo,,Civitatis
Free tour teatralizado de Valle-Inclán por el Barrio de las Letras,Bueno,Madrid,cultura,,Civitatis
Free tour de las mujeres ilustres de Madrid,Bueno,Madrid,tour,,Civitatis
Visita guiada por la Galería de las Colecciones Reales,Bueno,Madrid,museo,,Civitatis
Visita guiada por el Palacio Real de El Pardo,Bueno,Madrid,cultura,,Civitatis
Entrada a Atlantis Aquarium,Bueno,Madrid,ocio,,Civitatis
Entrada al Parque de Atracciones de Madrid,Bueno,Madrid,ocio,,Civitatis
Tour del levantamiento del 2 de Mayo de 1808,Bueno,Madrid,tour,,Civitatis
"Tour de 5 días por Andalucía, Toledo y la Costa del Sol",Bueno,Madrid,playa,,Civitatis
Entrada a Faunia,Bueno,Madrid,ocio,,Civitatis
Tour en bicicleta vintage al atardecer,Bueno,Madrid,tour,,Civitatis
Entradas al Palacio Real con audioguía,Desconocido,Madrid,cultura,,Civitatis
Espectáculo flamenco en el Tablao La Quimera,Bueno,Madrid,museo,,Civitatis
Excursión al Parque Nacional de la Sierra de Guadarrama,Bueno,Madrid,cultura,,Civitatis
Tour de 6 días a Lisboa y Fátima,Bueno,Madrid,tour,,Civitatis
Entrada a la Galería de las Colecciones Reales,Bueno,Madrid,museo,,Civitatis
Entrada a Sweet Space,Bueno,Madrid,museo,,Civitatis
Espectáculo en el tablao flamenco Las Tablas,Bueno,Madrid,cultura,,Civitatis
Espectáculo en el Centro Cultural de Flamenco de Madrid,Bueno,Madrid,cultura,,Civitatis
Tour del grafiti por Madrid,Bueno,Madrid,museo,,Civitatis
Entrada a la Real Academia de Bellas Artes de San Fernando,Desconocido,Madrid,museo,,Civitatis
Pub Crawl ¡Tour de fiesta por Madrid!,Neutro,Madrid,vida nocturna,,Civitatis
Entrada a la Fundación MAPFRE de Madrid,Bueno,Madrid,museo,,Civitatis
Alquiler de bicicleta en Madrid,Bueno,Madrid,tour,,Civitatis
Go City: Madrid All-Inclusive Pass,Bueno,Madrid,museo,,Civitatis
Show en el Tablao Flamenco 1911,Bueno,Madrid,cultura,,Civitatis
Tarjeta SIM Lebara con llamadas,Bueno,Madrid,otro,,Civitatis
Excursión privada desde Madrid,Bueno,Madrid,tour,,Civitatis
Segovia por libre en autobús,Bueno,Madrid,cultura,,Civitatis
Tour de tapas por Madrid,Bueno,Madrid,comida,,Civitatis
Espectáculo flamenco en el Tablao de la Villa,Bueno,Madrid,museo,,Civitatis
Go City: Madrid Explorer Pass,Neutro,Madrid,otro,,Civitatis
Tour de tapas y flamenco por Madrid,Bueno,Madrid,cultura,,Civitatis
"Andalucía, Costa del Sol y Toledo en 6 días",Bueno,Madrid,playa,,Civitatis
Espectáculo de flamenco en La Carmela,Bueno,Madrid,cultura,,Civitatis
Clase de cocina de tapas y paella en Madrid,Bueno,Madrid,comida,,Civitatis
"Andalucía, Valencia y Barcelona en 7 días",Bueno,Madrid,tour,,Civitatis
Visita guiada por el Museo de América,Bueno,Madrid,museo,,Civitatis
"Portugal, Andalucía y Marruecos en 18 días",Malo,Madrid,tour,,Civitatis
"Jardines Lockers, alquiler de consignas para equipaje",Bueno,Madrid,otro,,Civitatis
Tour en el Navibús de Madrid,Neutro,Madrid,tour,,Civitatis
Tour navideño por Madrid,Bueno,Madrid,tour,,Civitatis
Excursión a El Escorial en el tren de Felipe II,Bueno,Madrid,cultura,,Civitatis
Tour navideño en tuk tuk privado por Madrid,Bueno,Madrid,tour,,Civitatis
Cata de aceite de oliva en Madrid,Bueno,Madrid,comida,,Civitatis
Visita guiada por el hipódromo de la Zarzuela,Bueno,Madrid,cultura,,Civitatis
"Entradas para Cenicienta, el musical",Desconocido,Madrid,otro,,Civitatis
Free tour por Málaga,Bueno,Malaga,cultura,,Civitatis
