Year,Category,Indicator,Value,Country
1995,Outbound Expenditure,Tourism expenditure in other countries,101.000.000,Belarus
1995,Outbound Expenditure,Travel,87.000.000,Belarus
1995,Outbound Expenditure,Travel,8.115.000.000,Belgium
1995,Outbound Expenditure,Passenger transport,12.000.000,Belize
1995,Outbound Expenditure,Tourism expenditure in other countries,33.000.000,Belize
1995,Outbound Expenditure,Travel,21.000.000,Belize
1995,Outbound Expenditure,Passenger transport,13.000.000,Benin
1995,Outbound Expenditure,Tourism expenditure in other countries,48.000.000,Benin
1995,Outbound Expenditure,Travel,35.000.000,Benin
1995,Outbound Expenditure,Passenger transport,24.000.000,"Bolivia, Plurinational State Of"
1995,Outbound Expenditure,Tourism expenditure in other countries,72.000.000,"Bolivia, Plurinational State Of"
1995,Outbound Expenditure,Travel,48.000.000,"Bolivia, Plurinational State Of"
1995,Outbound Expenditure,Passenger transport,8.000.000,Botswana
1995,Outbound Expenditure,Tourism expenditure in other countries,153.000.000,Botswana
1995,Outbound Expenditure,Travel,145.000.000,Botswana
1995,Outbound Expenditure,Passenger transport,591.000.000,Brazil
1995,Outbound Expenditure,Tourism expenditure in other countries,3.982.000.000,Brazil
1995,Outbound Expenditure,Travel,3.391.000.000,Brazil
1995,Outbound Expenditure,Tourism expenditure in other countries,40.000.000,British Virgin Islands
1995,Outbound Expenditure,Passenger transport,117.000.000,Bulgaria
1995,Outbound Expenditure,Tourism expenditure in other countries,312.000.000,Bulgaria
1995,Outbound Expenditure,Travel,195.000.000,Bulgaria
1995,Outbound Expenditure,Travel,25.000.000,Burundi
1995,Outbound Expenditure,Passenger transport,4.000.000,Cabo Verde
1995,Outbound Expenditure,Tourism expenditure in other countries,20.000.000,Cabo Verde
1995,Outbound Expenditure,Travel,16.000.000,Cabo Verde
1995,Outbound Expenditure,Passenger transport,14.000.000,Cambodia
1995,Outbound Expenditure,Tourism expenditure in other countries,22.000.000,Cambodia
1995,Outbound Expenditure,Travel,8.000.000,Cambodia
1995,Outbound Expenditure,Passenger transport,35.000.000,Cameroon
1995,Outbound Expenditure,Tourism expenditure in other countries,140.000.000,Cameroon
1995,Outbound Expenditure,Travel,105.000.000,Cameroon
1995,Outbound Expenditure,Passenger transport,2.398.000.000,Canada
1995,Outbound Expenditure,Tourism expenditure in other countries,12.658.000.000,Canada
1995,Outbound Expenditure,Travel,10.260.000.000,Canada
1995,Outbound Expenditure,Tourism expenditure in other countries,43.000.000,Central African Republic
1995,Outbound Expenditure,Tourism expenditure in other countries,38.000.000,Chad
1995,Outbound Expenditure,Passenger transport,231.000.000,Chile
1995,Outbound Expenditure,Tourism expenditure in other countries,934.000.000,Chile
1995,Outbound Expenditure,Travel,703.000.000,Chile
1995,Outbound Expenditure,Travel,3.688.000.000,China
1995,Outbound Expenditure,Passenger transport,284.000.000,Colombia
1995,Outbound Expenditure,Tourism expenditure in other countries,1.162.000.000,Colombia
1995,Outbound Expenditure,Travel,878.000.000,Colombia
1995,Outbound Expenditure,Passenger transport,8.000.000,Comoros
1995,Outbound Expenditure,Tourism expenditure in other countries,15.000.000,Comoros
1995,Outbound Expenditure,Travel,7.000.000,Comoros
1995,Outbound Expenditure,Passenger transport,17.000.000,Congo
1995,Outbound Expenditure,Tourism expenditure in other countries,69.000.000,Congo
1995,Outbound Expenditure,Travel,52.000.000,Congo
1995,Outbound Expenditure,Passenger transport,13.000.000,Costa Rica
1995,Outbound Expenditure,Tourism expenditure in other countries,336.000.000,Costa Rica
1995,Outbound Expenditure,Travel,323.000.000,Costa Rica
1995,Outbound Expenditure,Passenger transport,122.000.000,Cote D´Ivoire
1995,Outbound Expenditure,Tourism expenditure in other countries,312.000.000,Cote D´Ivoire
1995,Outbound Expenditure,Travel,190.000.000,Cote D´Ivoire
1995,Outbound Expenditure,Travel,422.000.000,Croatia
1995,Outbound Expenditure,Passenger transport,143.747.500,Cyprus
1995,Outbound Expenditure,Tourism expenditure in other countries,473.482.150,Cyprus
1995,Outbound Expenditure,Travel,329.734.650,Cyprus
1995,Outbound Expenditure,Travel,1.635.000.000,Czech Republic (Czechia)
1995,Outbound Expenditure,Travel,4.288.000.000,Denmark
1995,Outbound Expenditure,Passenger transport,12.500.000,Djibouti
1995,Outbound Expenditure,Tourism expenditure in other countries,16.300.000,Djibouti
1995,Outbound Expenditure,Travel,3.800.000,Djibouti
1995,Outbound Expenditure,Travel,6.000.000,Dominica
1995,Outbound Expenditure,Passenger transport,94.000.000,Dominican Republic
1995,Outbound Expenditure,Tourism expenditure in other countries,267.000.000,Dominican Republic
1995,Outbound Expenditure,Travel,173.000.000,Dominican Republic
1995,Outbound Expenditure,Passenger transport,96.000.000,Ecuador
1995,Outbound Expenditure,Tourism expenditure in other countries,331.000.000,Ecuador
1995,Outbound Expenditure,Travel,235.000.000,Ecuador
1995,Outbound Expenditure,Passenger transport,93.000.000,Egypt
1995,Outbound Expenditure,Tourism expenditure in other countries,1.371.000.000,Egypt
1995,Outbound Expenditure,Travel,1.278.000.000,Egypt
1995,Outbound Expenditure,Passenger transport,27.000.000,El Salvador
1995,Outbound Expenditure,Tourism expenditure in other countries,99.000.000,El Salvador
1995,Outbound Expenditure,Travel,72.000.000,El Salvador
1995,Outbound Expenditure,Tourism expenditure in other countries,7.000.000,Equatorial Guinea
1995,Outbound Expenditure,Passenger transport,30.000.000,Estonia
1995,Outbound Expenditure,Tourism expenditure in other countries,121.000.000,Estonia
1995,Outbound Expenditure,Travel,91.000.000,Estonia
1995,Outbound Expenditure,Passenger transport,2.000.000,Eswatini
1995,Outbound Expenditure,Tourism expenditure in other countries,45.000.000,Eswatini
1995,Outbound Expenditure,Travel,43.000.000,Eswatini
1995,Outbound Expenditure,Passenger transport,5.000.000,Ethiopia
1995,Outbound Expenditure,Tourism expenditure in other countries,30.000.000,Ethiopia
1995,Outbound Expenditure,Travel,25.000.000,Ethiopia
1995,Outbound Expenditure,Passenger transport,18.000.000,Fiji
1995,Outbound Expenditure,Tourism expenditure in other countries,82.000.000,Fiji
1995,Outbound Expenditure,Travel,64.000.000,Fiji
1995,Outbound Expenditure,Passenger transport,575.000.000,Finland
1995,Outbound Expenditure,Tourism expenditure in other countries,2.853.000.000,Finland
1995,Outbound Expenditure,Travel,2.278.000.000,Finland
1995,Outbound Expenditure,Passenger transport,4.341.000.000,France
1995,Outbound Expenditure,Tourism expenditure in other countries,20.699.000.000,France
1995,Outbound Expenditure,Travel,16.358.000.000,France
1995,Outbound Expenditure,Passenger transport,45.000.000,Gabon
1995,Outbound Expenditure,Tourism expenditure in other countries,182.000.000,Gabon
1995,Outbound Expenditure,Travel,137.000.000,Gabon
1995,Outbound Expenditure,Passenger transport,2.000.000,Gambia
1995,Outbound Expenditure,Tourism expenditure in other countries,16.000.000,Gambia
1995,Outbound Expenditure,Travel,14.000.000,Gambia
1995,Outbound Expenditure,Passenger transport,6.267.000.000,Germany
1995,Outbound Expenditure,Tourism expenditure in other countries,66.527.000.000,Germany
1995,Outbound Expenditure,Travel,60.260.000.000,Germany
1995,Outbound Expenditure,Passenger transport,53.000.000,Ghana
1995,Outbound Expenditure,Tourism expenditure in other countries,74.000.000,Ghana
1995,Outbound Expenditure,Travel,21.000.000,Ghana
1995,Outbound Expenditure,Passenger transport,172.000.000,Greece
1995,Outbound Expenditure,Tourism expenditure in other countries,1.495.000.000,Greece
1995,Outbound Expenditure,Travel,1.323.000.000,Greece
1995,Outbound Expenditure,Travel,5.000.000,Grenada
1995,Outbound Expenditure,Passenger transport,26.000.000,Guatemala
1995,Outbound Expenditure,Tourism expenditure in other countries,167.000.000,Guatemala
1995,Outbound Expenditure,Travel,141.000.000,Guatemala
1995,Outbound Expenditure,Passenger transport,8.000.000,Guinea
1995,Outbound Expenditure,Tourism expenditure in other countries,29.000.000,Guinea
1995,Outbound Expenditure,Travel,21.000.000,Guinea
1995,Outbound Expenditure,Passenger transport,2.000.000,Guinea-Bissau
1995,Outbound Expenditure,Tourism expenditure in other countries,5.800.000,Guinea-Bissau
1995,Outbound Expenditure,Travel,3.800.000,Guinea-Bissau
1995,Outbound Expenditure,Travel,21.000.000,Guyana
1995,Outbound Expenditure,Travel,35.000.000,Haiti
1995,Outbound Expenditure,Passenger transport,42.000.000,Honduras
1995,Outbound Expenditure,Tourism expenditure in other countries,99.000.000,Honduras
1995,Outbound Expenditure,Travel,57.000.000,Honduras
1995,Outbound Expenditure,Travel,10.497.000.000,"Hong Kong, China"
1995,Outbound Expenditure,Passenger transport,3.000.000,Hungary
1995,Outbound Expenditure,Tourism expenditure in other countries,1.501.000.000,Hungary
1995,Outbound Expenditure,Travel,1.498.000.000,Hungary
1995,Outbound Expenditure,Travel,282.000.000,Iceland
1995,Outbound Expenditure,Travel,996.000.000,India
1995,Outbound Expenditure,Travel,2.172.000.000,Indonesia
1995,Outbound Expenditure,Passenger transport,6.000.000,"Iran, Islamic Republic Of"
1995,Outbound Expenditure,Tourism expenditure in other countries,247.000.000,"Iran, Islamic Republic Of"
1995,Outbound Expenditure,Travel,241.000.000,"Iran, Islamic Republic Of"
1995,Outbound Expenditure,Travel,117.000.000,Iraq
1995,Outbound Expenditure,Travel,2.034.000.000,Ireland
1995,Outbound Expenditure,Passenger transport,506.000.000,Israel
1995,Outbound Expenditure,Tourism expenditure in other countries,2.626.000.000,Israel
1995,Outbound Expenditure,Travel,2.120.000.000,Israel
1995,Outbound Expenditure,Passenger transport,2.390.000.000,Italy
1995,Outbound Expenditure,Tourism expenditure in other countries,17.201.000.000,Italy
1995,Outbound Expenditure,Travel,14.811.000.000,Italy
1995,Outbound Expenditure,Passenger transport,25.000.000,Jamaica
1995,Outbound Expenditure,Tourism expenditure in other countries,173.000.000,Jamaica
1995,Outbound Expenditure,Travel,148.000.000,Jamaica
1995,Outbound Expenditure,Passenger transport,10.202.000.000,Japan
1995,Outbound Expenditure,Tourism expenditure in other countries,46.966.000.000,Japan
1995,Outbound Expenditure,Travel,36.764.000.000,Japan
1995,Outbound Expenditure,Passenger transport,294.000.000,Jordan
1995,Outbound Expenditure,Tourism expenditure in other countries,719.000.000,Jordan
1995,Outbound Expenditure,Travel,425.000.000,Jordan
1995,Outbound Expenditure,Passenger transport,13.000.000,Kazakhstan
1995,Outbound Expenditure,Tourism expenditure in other countries,296.000.000,Kazakhstan
1995,Outbound Expenditure,Travel,283.000.000,Kazakhstan
1995,Outbound Expenditure,Passenger transport,38.000.000,Kenya
1995,Outbound Expenditure,Tourism expenditure in other countries,230.000.000,Kenya
1995,Outbound Expenditure,Travel,192.000.000,Kenya
1995,Outbound Expenditure,Passenger transport,606.000.000,"Korea, Republic Of"
1995,Outbound Expenditure,Tourism expenditure in other countries,6.947.000.000,"Korea, Republic Of"
1995,Outbound Expenditure,Travel,6.341.000.000,"Korea, Republic Of"
1995,Outbound Expenditure,Passenger transport,266.000.000,Kuwait
1995,Outbound Expenditure,Tourism expenditure in other countries,2.514.000.000,Kuwait
1995,Outbound Expenditure,Travel,2.248.000.000,Kuwait
1995,Outbound Expenditure,Travel,7.000.000,Kyrgyzstan
1995,Outbound Expenditure,Passenger transport,4.000.000,Lao People´S Democratic Republic
1995,Outbound Expenditure,Tourism expenditure in other countries,34.000.000,Lao People´S Democratic Republic
1995,Outbound Expenditure,Travel,30.000.000,Lao People´S Democratic Republic
1995,Outbound Expenditure,Passenger transport,38.000.000,Latvia
1995,Outbound Expenditure,Tourism expenditure in other countries,62.000.000,Latvia
1995,Outbound Expenditure,Travel,24.000.000,Latvia
1995,Outbound Expenditure,Passenger transport,4.000.000,Lesotho
1995,Outbound Expenditure,Tourism expenditure in other countries,17.000.000,Lesotho
1995,Outbound Expenditure,Travel,13.000.000,Lesotho
1995,Outbound Expenditure,Passenger transport,22.000.000,Libya
1995,Outbound Expenditure,Tourism expenditure in other countries,98.000.000,Libya
1995,Outbound Expenditure,Travel,76.000.000,Libya
1995,Outbound Expenditure,Passenger transport,1.000.000,Lithuania
1995,Outbound Expenditure,Tourism expenditure in other countries,107.000.000,Lithuania
1995,Outbound Expenditure,Travel,106.000.000,Lithuania
1995,Outbound Expenditure,Travel,1.193.000.000,Luxembourg
1995,Outbound Expenditure,Passenger transport,20.000.000,Madagascar
1995,Outbound Expenditure,Tourism expenditure in other countries,79.000.000,Madagascar
1995,Outbound Expenditure,Travel,59.000.000,Madagascar
1995,Outbound Expenditure,Passenger transport,14.000.000,Malawi
1995,Outbound Expenditure,Tourism expenditure in other countries,53.000.000,Malawi
1995,Outbound Expenditure,Travel,39.000.000,Malawi
1995,Outbound Expenditure,Passenger transport,408.000.000,Malaysia
1995,Outbound Expenditure,Tourism expenditure in other countries,2.722.000.000,Malaysia
1995,Outbound Expenditure,Travel,2.314.000.000,Malaysia
1995,Outbound Expenditure,Passenger transport,10.000.000,Maldives
1995,Outbound Expenditure,Tourism expenditure in other countries,41.000.000,Maldives
1995,Outbound Expenditure,Travel,31.000.000,Maldives
1995,Outbound Expenditure,Passenger transport,25.000.000,Mali
1995,Outbound Expenditure,Tourism expenditure in other countries,74.000.000,Mali
1995,Outbound Expenditure,Travel,49.000.000,Mali
1995,Outbound Expenditure,Passenger transport,23.000.000,Malta
1995,Outbound Expenditure,Tourism expenditure in other countries,237.000.000,Malta
1995,Outbound Expenditure,Travel,214.000.000,Malta
1995,Outbound Expenditure,Passenger transport,7.000.000,Mauritania
1995,Outbound Expenditure,Tourism expenditure in other countries,30.000.000,Mauritania
1995,Outbound Expenditure,Travel,23.000.000,Mauritania
1995,Outbound Expenditure,Passenger transport,25.000.000,Mauritius
1995,Outbound Expenditure,Tourism expenditure in other countries,184.000.000,Mauritius
1995,Outbound Expenditure,Travel,159.000.000,Mauritius
1995,Outbound Expenditure,Passenger transport,416.000.000,Mexico
1995,Outbound Expenditure,Tourism expenditure in other countries,3.587.000.000,Mexico
1995,Outbound Expenditure,Travel,3.171.000.000,Mexico
1995,Outbound Expenditure,Passenger transport,17.000.000,"Moldova, Republic Of"
1995,Outbound Expenditure,Tourism expenditure in other countries,73.000.000,"Moldova, Republic Of"
1995,Outbound Expenditure,Travel,56.000.000,"Moldova, Republic Of"
1995,Outbound Expenditure,Passenger transport,2.000.000,Mongolia
1995,Outbound Expenditure,Tourism expenditure in other countries,22.000.000,Mongolia
1995,Outbound Expenditure,Travel,20.000.000,Mongolia
1995,Outbound Expenditure,Travel,4.000.000,Montserrat
1995,Outbound Expenditure,Passenger transport,54.000.000,Morocco
1995,Outbound Expenditure,Tourism expenditure in other countries,356.000.000,Morocco
1995,Outbound Expenditure,Travel,302.000.000,Morocco
1995,Outbound Expenditure,Travel,18.000.000,Myanmar
1995,Outbound Expenditure,Travel,90.000.000,Namibia
1995,Outbound Expenditure,Passenger transport,31.000.000,Nepal
1995,Outbound Expenditure,Tourism expenditure in other countries,167.000.000,Nepal
1995,Outbound Expenditure,Travel,136.000.000,Nepal
1995,Outbound Expenditure,Passenger transport,1.477.000.000,Netherlands
1995,Outbound Expenditure,Tourism expenditure in other countries,13.151.000.000,Netherlands
1995,Outbound Expenditure,Travel,11.674.000.000,Netherlands
1995,Outbound Expenditure,Travel,1.259.000.000,New Zealand
1995,Outbound Expenditure,Passenger transport,16.000.000,Nicaragua
1995,Outbound Expenditure,Tourism expenditure in other countries,56.000.000,Nicaragua
1995,Outbound Expenditure,Travel,40.000.000,Nicaragua
1995,Outbound Expenditure,Passenger transport,13.000.000,Niger
1995,Outbound Expenditure,Tourism expenditure in other countries,26.000.000,Niger
1995,Outbound Expenditure,Travel,13.000.000,Niger
1995,Outbound Expenditure,Passenger transport,32.000.000,Nigeria
1995,Outbound Expenditure,Tourism expenditure in other countries,938.000.000,Nigeria
1995,Outbound Expenditure,Travel,906.000.000,Nigeria
1995,Outbound Expenditure,Travel,27.000.000,North Macedonia
1995,Outbound Expenditure,Passenger transport,249.000.000,Norway
1995,Outbound Expenditure,Tourism expenditure in other countries,4.481.000.000,Norway
1995,Outbound Expenditure,Travel,4.232.000.000,Norway
1995,Outbound Expenditure,Travel,47.000.000,Oman
1995,Outbound Expenditure,Passenger transport,208.000.000,Pakistan
1995,Outbound Expenditure,Tourism expenditure in other countries,654.000.000,Pakistan
1995,Outbound Expenditure,Travel,446.000.000,Pakistan
1995,Outbound Expenditure,Passenger transport,60.000.000,Panama
1995,Outbound Expenditure,Tourism expenditure in other countries,181.000.000,Panama
1995,Outbound Expenditure,Travel,121.000.000,Panama
1995,Outbound Expenditure,Travel,58.000.000,Papua New Guinea
1995,Outbound Expenditure,Passenger transport,40.000.000,Paraguay
1995,Outbound Expenditure,Tourism expenditure in other countries,173.000.000,Paraguay
1995,Outbound Expenditure,Travel,133.000.000,Paraguay
1995,Outbound Expenditure,Passenger transport,131.000.000,Peru
1995,Outbound Expenditure,Tourism expenditure in other countries,428.000.000,Peru
1995,Outbound Expenditure,Travel,297.000.000,Peru
1995,Outbound Expenditure,Passenger transport,129.000.000,Philippines
1995,Outbound Expenditure,Tourism expenditure in other countries,551.000.000,Philippines
1995,Outbound Expenditure,Travel,422.000.000,Philippines
1995,Outbound Expenditure,Passenger transport,365.000.000,Poland
1995,Outbound Expenditure,Tourism expenditure in other countries,5.865.000.000,Poland
1995,Outbound Expenditure,Travel,5.500.000.000,Poland
1995,Outbound Expenditure,Passenger transport,440.000.000,Portugal
1995,Outbound Expenditure,Tourism expenditure in other countries,2.539.000.000,Portugal
1995,Outbound Expenditure,Travel,2.099.000.000,Portugal
1995,Outbound Expenditure,Passenger transport,322.000.000,Puerto Rico
1995,Outbound Expenditure,Tourism expenditure in other countries,1.155.000.000,Puerto Rico
1995,Outbound Expenditure,Travel,833.000.000,Puerto Rico
1995,Outbound Expenditure,Passenger transport,52.000.000,Romania
1995,Outbound Expenditure,Tourism expenditure in other countries,749.000.000,Romania
1995,Outbound Expenditure,Travel,697.000.000,Romania
1995,Outbound Expenditure,Travel,11.599.000.000,Russian Federation
1995,Outbound Expenditure,Passenger transport,3.000.000,Rwanda
1995,Outbound Expenditure,Tourism expenditure in other countries,13.000.000,Rwanda
1995,Outbound Expenditure,Travel,10.000.000,Rwanda
1995,Outbound Expenditure,Travel,5.000.000,Saint Kitts And Nevis
1995,Outbound Expenditure,Travel,25.000.000,Saint Lucia
1995,Outbound Expenditure,Travel,7.000.000,Saint Vincent And The Grenadines
1995,Outbound Expenditure,Passenger transport,3.600.000,Samoa
1995,Outbound Expenditure,Tourism expenditure in other countries,6.800.000,Samoa
1995,Outbound Expenditure,Travel,3.200.000,Samoa
1995,Outbound Expenditure,Passenger transport,82.000.000,Senegal
1995,Outbound Expenditure,Tourism expenditure in other countries,154.000.000,Senegal
1995,Outbound Expenditure,Travel,72.000.000,Senegal
1995,Outbound Expenditure,Passenger transport,6.000.000,Seychelles
1995,Outbound Expenditure,Tourism expenditure in other countries,34.000.000,Seychelles
1995,Outbound Expenditure,Travel,28.000.000,Seychelles
1995,Outbound Expenditure,Passenger transport,500.000,Sierra Leone
1995,Outbound Expenditure,Tourism expenditure in other countries,50.500.000,Sierra Leone
1995,Outbound Expenditure,Travel,50.000.000,Sierra Leone
1995,Outbound Expenditure,Travel,4.663.000.000,Singapore
1995,Outbound Expenditure,Travel,59.000.000,Sint Maarten (Dutch Part)
1995,Outbound Expenditure,Passenger transport,17.000.000,Slovakia
1995,Outbound Expenditure,Tourism expenditure in other countries,338.000.000,Slovakia
1995,Outbound Expenditure,Travel,321.000.000,Slovakia
1995,Outbound Expenditure,Passenger transport,31.000.000,Slovenia
1995,Outbound Expenditure,Tourism expenditure in other countries,606.000.000,Slovenia
1995,Outbound Expenditure,Travel,575.000.000,Slovenia
1995,Outbound Expenditure,Passenger transport,3.900.000,Solomon Islands
1995,Outbound Expenditure,Tourism expenditure in other countries,17.400.000,Solomon Islands
1995,Outbound Expenditure,Travel,13.500.000,Solomon Islands
1995,Outbound Expenditure,Passenger transport,565.000.000,South Africa
1995,Outbound Expenditure,Tourism expenditure in other countries,2.414.000.000,South Africa
1995,Outbound Expenditure,Travel,1.849.000.000,South Africa
1995,Outbound Expenditure,Passenger transport,93.000.000,Sri Lanka
1995,Outbound Expenditure,Tourism expenditure in other countries,279.000.000,Sri Lanka
1995,Outbound Expenditure,Travel,186.000.000,Sri Lanka
1995,Outbound Expenditure,Travel,162.000.000,State Of Palestine
1995,Outbound Expenditure,Travel,43.000.000,Sudan
1995,Outbound Expenditure,Passenger transport,24.000.000,Suriname
1995,Outbound Expenditure,Tourism expenditure in other countries,27.000.000,Suriname
1995,Outbound Expenditure,Travel,3.000.000,Suriname
1995,Outbound Expenditure,Passenger transport,1.368.000.000,Sweden
1995,Outbound Expenditure,Tourism expenditure in other countries,6.816.000.000,Sweden
1995,Outbound Expenditure,Travel,5.448.000.000,Sweden
1995,Outbound Expenditure,Passenger transport,2.058.000.000,Switzerland
1995,Outbound Expenditure,Tourism expenditure in other countries,9.478.000.000,Switzerland
1995,Outbound Expenditure,Travel,7.420.000.000,Switzerland
1995,Outbound Expenditure,Travel,498.000.000,Syrian Arab Republic
1995,Outbound Expenditure,Passenger transport,1.030.000.000,Taiwan Province Of China
1995,Outbound Expenditure,Tourism expenditure in other countries,9.487.000.000,Taiwan Province Of China
1995,Outbound Expenditure,Travel,8.457.000.000,Taiwan Province Of China
1995,Outbound Expenditure,Travel,360.000.000,"Tanzania, United Republic Of"
1995,Outbound Expenditure,Passenger transport,520.000.000,Thailand
1995,Outbound Expenditure,Tourism expenditure in other countries,4.791.000.000,Thailand
1995,Outbound Expenditure,Travel,4.271.000.000,Thailand
1995,Outbound Expenditure,Passenger transport,22.000.000,Togo
1995,Outbound Expenditure,Tourism expenditure in other countries,40.000.000,Togo
1995,Outbound Expenditure,Travel,18.000.000,Togo
1995,Outbound Expenditure,Passenger transport,22.000.000,Trinidad And Tobago
1995,Outbound Expenditure,Tourism expenditure in other countries,91.000.000,Trinidad And Tobago
1995,Outbound Expenditure,Travel,69.000.000,Trinidad And Tobago
1995,Outbound Expenditure,Passenger transport,43.000.000,Tunisia
1995,Outbound Expenditure,Tourism expenditure in other countries,294.000.000,Tunisia
1995,Outbound Expenditure,Travel,251.000.000,Tunisia
1995,Outbound Expenditure,Tourism expenditure in other countries,153.000.000,Turks And Caicos Islands
1995,Outbound Expenditure,Travel,911.000.000,Türkiye
1995,Outbound Expenditure,Travel,80.000.000,Uganda
1995,Outbound Expenditure,Travel,210.000.000,Ukraine
1995,Outbound Expenditure,Passenger transport,5.823.000.000,United Kingdom
1995,Outbound Expenditure,Tourism expenditure in other countries,30.749.000.000,United Kingdom
1995,Outbound Expenditure,Travel,24.926.000.000,United Kingdom
1995,Outbound Expenditure,Passenger transport,14.663.000.000,United States Of America
1995,Outbound Expenditure,Tourism expenditure in other countries,61.042.000.000,United States Of America
1995,Outbound Expenditure,Travel,46.379.000.000,United States Of America
1995,Outbound Expenditure,Passenger transport,96.000.000,Uruguay
1995,Outbound Expenditure,Tourism expenditure in other countries,332.000.000,Uruguay
1995,Outbound Expenditure,Travel,236.000.000,Uruguay
1995,Outbound Expenditure,Passenger transport,5.000.000,Vanuatu
1995,Outbound Expenditure,Tourism expenditure in other countries,10.000.000,Vanuatu
1995,Outbound Expenditure,Travel,5.000.000,Vanuatu
1995,Outbound Expenditure,Passenger transport,138.000.000,"Venezuela, Bolivarian Republic Of"
1995,Outbound Expenditure,Tourism expenditure in other countries,1.852.000.000,"Venezuela, Bolivarian Republic Of"
1995,Outbound Expenditure,Travel,1.714.000.000,"Venezuela, Bolivarian Republic Of"
1995,Outbound Expenditure,Travel,76.000.000,Yemen
1995,Outbound Expenditure,Tourism expenditure in other countries,106.000.000,Zimbabwe
1996,Outbound Expenditure,Passenger transport,13.000.000,Albania
1996,Outbound Expenditure,Tourism expenditure in other countries,25.000.000,Albania
1996,Outbound Expenditure,Travel,12.000.000,Albania
1996,Outbound Expenditure,Travel,188.000.000,Algeria
1996,Outbound Expenditure,Passenger transport,37.000.000,Angola
1996,Outbound Expenditure,Tourism expenditure in other countries,110.000.000,Angola
1996,Outbound Expenditure,Travel,73.000.000,Angola
1996,Outbound Expenditure,Travel,6.000.000,Anguilla
1996,Outbound Expenditure,Travel,26.000.000,Antigua And Barbuda
1996,Outbound Expenditure,Passenger transport,865.000.000,Argentina
1996,Outbound Expenditure,Tourism expenditure in other countries,4.449.000.000,Argentina
1996,Outbound Expenditure,Travel,3.584.000.000,Argentina
1996,Outbound Expenditure,Passenger transport,4.000.000,Armenia
1996,Outbound Expenditure,Tourism expenditure in other countries,26.000.000,Armenia
1996,Outbound Expenditure,Travel,22.000.000,Armenia
1996,Outbound Expenditure,Passenger transport,8.000.000,Aruba
1996,Outbound Expenditure,Tourism expenditure in other countries,128.000.000,Aruba
1996,Outbound Expenditure,Travel,120.000.000,Aruba
1996,Outbound Expenditure,Passenger transport,2.625.000.000,Australia
1996,Outbound Expenditure,Tourism expenditure in other countries,8.545.000.000,Australia
1996,Outbound Expenditure,Travel,5.920.000.000,Australia
1996,Outbound Expenditure,Passenger transport,762.000.000,Austria
1996,Outbound Expenditure,Tourism expenditure in other countries,11.777.000.000,Austria
1996,Outbound Expenditure,Travel,11.015.000.000,Austria
1996,Outbound Expenditure,Passenger transport,15.000.000,Azerbaijan
1996,Outbound Expenditure,Tourism expenditure in other countries,115.000.000,Azerbaijan
