Year,Country,Indicator,Category,Value
1995,Libya,Same-day visitors (excursionists),Departures,0.0
1995,Lithuania,Overnights visitors (tourists),Departures,1.925
1995,Lithuania,Same-day visitors (excursionists),Departures,0.0
1995,Madagascar,Overnights visitors (tourists),Departures,39.0
1995,Madagascar,Same-day visitors (excursionists),Departures,0.0
1995,Maldives,Overnights visitors (tourists),Departures,32.0
1995,Maldives,Same-day visitors (excursionists),Departures,0.0
1995,Malta,Overnights visitors (tourists),Departures,163.0
1995,Malta,Same-day visitors (excursionists),Departures,0.0
1995,Mauritius,Overnights visitors (tourists),Departures,107.0
1995,Mauritius,Same-day visitors (excursionists),Departures,0.0
1995,Mexico,Overnights visitors (tourists),Departures,8.45
1995,Mexico,Same-day visitors (excursionists),Departures,94.71
1995,"Moldova, Republic Of",Overnights visitors (tourists),Departures,71.0
1995,"Moldova, Republic Of",Same-day visitors (excursionists),Departures,0.0
1995,Morocco,Overnights visitors (tourists),Departures,1.317
1995,Morocco,Same-day visitors (excursionists),Departures,0.0
1995,Nepal,Overnights visitors (tourists),Departures,100.0
1995,Nepal,Same-day visitors (excursionists),Departures,0.0
1995,Netherlands,Overnights visitors (tourists),Departures,12.313
1995,Netherlands,Same-day visitors (excursionists),Departures,0.0
1995,New Caledonia,Overnights visitors (tourists),Departures,59.0
1995,New Caledonia,Same-day visitors (excursionists),Departures,0.0
1995,New Zealand,Overnights visitors (tourists),Departures,920.0
1995,New Zealand,Same-day visitors (excursionists),Departures,0.0
1995,Nicaragua,Overnights visitors (tourists),Departures,255.0
1995,Nicaragua,Same-day visitors (excursionists),Departures,0.0
1995,Niger,Overnights visitors (tourists),Departures,10.0
1995,Niger,Same-day visitors (excursionists),Departures,0.0
1995,Norway,Overnights visitors (tourists),Departures,590.0
1995,Norway,Same-day visitors (excursionists),Departures,0.0
1995,Panama,Overnights visitors (tourists),Departures,185.0
1995,Panama,Same-day visitors (excursionists),Departures,0.0
1995,Papua New Guinea,Overnights visitors (tourists),Departures,51.0
1995,Papua New Guinea,Same-day visitors (excursionists),Departures,0.0
1995,Paraguay,Overnights visitors (tourists),Departures,427.0
1995,Paraguay,Same-day visitors (excursionists),Departures,0.0
1995,Peru,Overnights visitors (tourists),Departures,508.0
1995,Peru,Same-day visitors (excursionists),Departures,0.0
1995,Philippines,Overnights visitors (tourists),Departures,1.615
1995,Philippines,Same-day visitors (excursionists),Departures,0.0
1995,Puerto Rico,Overnights visitors (tourists),Departures,1.237
1995,Puerto Rico,Same-day visitors (excursionists),Departures,0.0
1995,Seychelles,Overnights visitors (tourists),Departures,31.0
1995,Seychelles,Same-day visitors (excursionists),Departures,0.0
1995,Singapore,Overnights visitors (tourists),Departures,2.867
1995,Singapore,Same-day visitors (excursionists),Departures,0.0
1995,Sri Lanka,Overnights visitors (tourists),Departures,504.0
1995,Sri Lanka,Same-day visitors (excursionists),Departures,0.0
1995,Sudan,Overnights visitors (tourists),Departures,195.0
1995,Sudan,Same-day visitors (excursionists),Departures,0.0
1995,Sweden,Overnights visitors (tourists),Departures,10.127
1995,Sweden,Same-day visitors (excursionists),Departures,0.0
1995,Switzerland,Overnights visitors (tourists),Departures,11.148
1995,Switzerland,Same-day visitors (excursionists),Departures,0.0
1995,Syrian Arab Republic,Overnights visitors (tourists),Departures,1.746
1995,Syrian Arab Republic,Same-day visitors (excursionists),Departures,0.0
1995,"Tanzania, United Republic Of",Overnights visitors (tourists),Departures,157.0
1995,"Tanzania, United Republic Of",Same-day visitors (excursionists),Departures,0.0
1995,Thailand,Overnights visitors (tourists),Departures,1.82
1995,Thailand,Same-day visitors (excursionists),Departures,0.0
1995,Trinidad And Tobago,Overnights visitors (tourists),Departures,261.0
1995,Trinidad And Tobago,Same-day visitors (excursionists),Departures,0.0
1995,Tunisia,Overnights visitors (tourists),Departures,1.778
1995,Tunisia,Same-day visitors (excursionists),Departures,0.0
1995,Turkmenistan,Overnights visitors (tourists),Departures,21.0
1995,Turkmenistan,Same-day visitors (excursionists),Departures,0.0
1995,Türkiye,Overnights visitors (tourists),Departures,3.981
1995,Türkiye,Same-day visitors (excursionists),Departures,0.0
1995,Ukraine,Overnights visitors (tourists),Departures,6.552
1995,Ukraine,Same-day visitors (excursionists),Departures,0.0
1995,United States Of America,Overnights visitors (tourists),Departures,51.285
1995,United States Of America,Same-day visitors (excursionists),Departures,22.746
1995,Vanuatu,Overnights visitors (tourists),Departures,11.0
1995,Vanuatu,Same-day visitors (excursionists),Departures,0.0
1995,"Venezuela, Bolivarian Republic Of",Overnights visitors (tourists),Departures,534.0
1995,"Venezuela, Bolivarian Republic Of",Same-day visitors (excursionists),Departures,0.0
1995,Zimbabwe,Overnights visitors (tourists),Departures,256.0
1995,Zimbabwe,Same-day visitors (excursionists),Departures,0.0
1996,Algeria,Overnights visitors (tourists),Departures,874.0
1996,Algeria,Same-day visitors (excursionists),Departures,0.0
1996,Angola,Overnights visitors (tourists),Departures,3.0
1996,Angola,Same-day visitors (excursionists),Departures,0.0
1996,Argentina,Overnights visitors (tourists),Departures,4.296
1996,Argentina,Same-day visitors (excursionists),Departures,0.0
1996,Bangladesh,Overnights visitors (tourists),Departures,911.0
1996,Bangladesh,Same-day visitors (excursionists),Departures,0.0
1996,Belgium,Overnights visitors (tourists),Departures,5.645
1996,Belgium,Same-day visitors (excursionists),Departures,0.0
1996,"Bolivia, Plurinational State Of",Overnights visitors (tourists),Departures,269.0
1996,"Bolivia, Plurinational State Of",Same-day visitors (excursionists),Departures,0.0
1996,Brazil,Overnights visitors (tourists),Departures,3.797
1996,Brazil,Same-day visitors (excursionists),Departures,0.0
1996,Bulgaria,Overnights visitors (tourists),Departures,3.006
1996,Bulgaria,Same-day visitors (excursionists),Departures,0.0
1996,Burundi,Overnights visitors (tourists),Departures,35.0
1996,Burundi,Same-day visitors (excursionists),Departures,0.0
1996,Cambodia,Overnights visitors (tourists),Departures,38.0
1996,Cambodia,Same-day visitors (excursionists),Departures,0.0
1996,Canada,Overnights visitors (tourists),Departures,18.973
1996,Canada,Same-day visitors (excursionists),Departures,37.398
1996,China,Overnights visitors (tourists),Departures,5.061
1996,China,Same-day visitors (excursionists),Departures,0.0
1996,Colombia,Overnights visitors (tourists),Departures,929.0
1996,Colombia,Same-day visitors (excursionists),Departures,0.0
1996,Cook Islands,Overnights visitors (tourists),Departures,7.0
1996,Cook Islands,Same-day visitors (excursionists),Departures,0.0
1996,Costa Rica,Overnights visitors (tourists),Departures,283.0
1996,Costa Rica,Same-day visitors (excursionists),Departures,0.0
1996,Cuba,Overnights visitors (tourists),Departures,72.0
1996,Cuba,Same-day visitors (excursionists),Departures,0.0
1996,Denmark,Overnights visitors (tourists),Departures,5.035
1996,Denmark,Same-day visitors (excursionists),Departures,0.0
1996,Dominican Republic,Overnights visitors (tourists),Departures,358.0
1996,Dominican Republic,Same-day visitors (excursionists),Departures,0.0
1996,Ecuador,Overnights visitors (tourists),Departures,275.0
1996,Ecuador,Same-day visitors (excursionists),Departures,0.0
1996,Egypt,Overnights visitors (tourists),Departures,2.812
1996,Egypt,Same-day visitors (excursionists),Departures,0.0
1996,Estonia,Overnights visitors (tourists),Departures,1.547
1996,Estonia,Same-day visitors (excursionists),Departures,0.0
1996,Ethiopia,Overnights visitors (tourists),Departures,133.0
1996,Ethiopia,Same-day visitors (excursionists),Departures,0.0
1996,Fiji,Overnights visitors (tourists),Departures,72.0
1996,Fiji,Same-day visitors (excursionists),Departures,0.0
1996,Finland,Overnights visitors (tourists),Departures,4.918
1996,Finland,Same-day visitors (excursionists),Departures,0.0
1996,France,Overnights visitors (tourists),Departures,18.151
1996,France,Same-day visitors (excursionists),Departures,0.0
1996,French Polynesia,Overnights visitors (tourists),Departures,65.0
1996,French Polynesia,Same-day visitors (excursionists),Departures,0.0
1996,Georgia,Overnights visitors (tourists),Departures,219.0
1996,Georgia,Same-day visitors (excursionists),Departures,0.0
1996,Honduras,Overnights visitors (tourists),Departures,162.0
1996,Honduras,Same-day visitors (excursionists),Departures,0.0
1996,Iceland,Overnights visitors (tourists),Departures,190.0
1996,Iceland,Same-day visitors (excursionists),Departures,0.0
1996,India,Overnights visitors (tourists),Departures,3.464
1996,India,Same-day visitors (excursionists),Departures,0.0
1996,"Iran, Islamic Republic Of",Overnights visitors (tourists),Departures,1.218
1996,"Iran, Islamic Republic Of",Same-day visitors (excursionists),Departures,0.0
1996,Israel,Overnights visitors (tourists),Departures,2.505
1996,Israel,Same-day visitors (excursionists),Departures,0.0
1996,Italy,Overnights visitors (tourists),Departures,18.173
1996,Italy,Same-day visitors (excursionists),Departures,0.0
1996,Jordan,Overnights visitors (tourists),Departures,1.141
1996,Jordan,Same-day visitors (excursionists),Departures,0.0
1996,Kazakhstan,Overnights visitors (tourists),Departures,523.0
1996,Kazakhstan,Same-day visitors (excursionists),Departures,0.0
1996,Kuwait,Overnights visitors (tourists),Departures,1.051
1996,Kuwait,Same-day visitors (excursionists),Departures,0.0
1996,Libya,Overnights visitors (tourists),Departures,493.0
1996,Libya,Same-day visitors (excursionists),Departures,0.0
1996,Lithuania,Overnights visitors (tourists),Departures,2.864
1996,Lithuania,Same-day visitors (excursionists),Departures,0.0
1996,Maldives,Overnights visitors (tourists),Departures,32.0
1996,Maldives,Same-day visitors (excursionists),Departures,0.0
1996,Malta,Overnights visitors (tourists),Departures,168.0
1996,Malta,Same-day visitors (excursionists),Departures,0.0
1996,Mauritius,Overnights visitors (tourists),Departures,120.0
1996,Mauritius,Same-day visitors (excursionists),Departures,0.0
1996,Mexico,Overnights visitors (tourists),Departures,9.001
1996,Mexico,Same-day visitors (excursionists),Departures,94.441
1996,"Moldova, Republic Of",Overnights visitors (tourists),Departures,54.0
1996,"Moldova, Republic Of",Same-day visitors (excursionists),Departures,0.0
1996,Morocco,Overnights visitors (tourists),Departures,1.212
1996,Morocco,Same-day visitors (excursionists),Departures,0.0
1996,Nepal,Overnights visitors (tourists),Departures,119.0
1996,Nepal,Same-day visitors (excursionists),Departures,0.0
1996,Netherlands,Overnights visitors (tourists),Departures,12.807
1996,Netherlands,Same-day visitors (excursionists),Departures,0.0
1996,New Caledonia,Overnights visitors (tourists),Departures,64.0
1996,New Caledonia,Same-day visitors (excursionists),Departures,0.0
1996,New Zealand,Overnights visitors (tourists),Departures,1.093
1996,New Zealand,Same-day visitors (excursionists),Departures,0.0
1996,Nicaragua,Overnights visitors (tourists),Departures,282.0
1996,Nicaragua,Same-day visitors (excursionists),Departures,0.0
1996,Niger,Overnights visitors (tourists),Departures,10.0
1996,Niger,Same-day visitors (excursionists),Departures,0.0
1996,Norway,Overnights visitors (tourists),Departures,692.0
1996,Norway,Same-day visitors (excursionists),Departures,0.0
1996,Panama,Overnights visitors (tourists),Departures,188.0
1996,Panama,Same-day visitors (excursionists),Departures,0.0
1996,Paraguay,Overnights visitors (tourists),Departures,418.0
1996,Paraguay,Same-day visitors (excursionists),Departures,0.0
1996,Peru,Overnights visitors (tourists),Departures,510.0
1996,Peru,Same-day visitors (excursionists),Departures,0.0
1996,Philippines,Overnights visitors (tourists),Departures,2.121
1996,Philippines,Same-day visitors (excursionists),Departures,0.0
1996,Puerto Rico,Overnights visitors (tourists),Departures,1.184
1996,Puerto Rico,Same-day visitors (excursionists),Departures,0.0
1996,Seychelles,Overnights visitors (tourists),Departures,29.0
1996,Seychelles,Same-day visitors (excursionists),Departures,0.0
1996,Singapore,Overnights visitors (tourists),Departures,3.305
1996,Singapore,Same-day visitors (excursionists),Departures,0.0
1996,Sri Lanka,Overnights visitors (tourists),Departures,494.0
1996,Sri Lanka,Same-day visitors (excursionists),Departures,0.0
1996,Sweden,Overnights visitors (tourists),Departures,10.39
1996,Sweden,Same-day visitors (excursionists),Departures,0.0
1996,Switzerland,Overnights visitors (tourists),Departures,12.061
1996,Switzerland,Same-day visitors (excursionists),Departures,0.0
1996,Syrian Arab Republic,Overnights visitors (tourists),Departures,1.871
1996,Syrian Arab Republic,Same-day visitors (excursionists),Departures,0.0
1996,"Tanzania, United Republic Of",Overnights visitors (tourists),Departures,148.0
1996,"Tanzania, United Republic Of",Same-day visitors (excursionists),Departures,0.0
1996,Thailand,Overnights visitors (tourists),Departures,1.845
1996,Thailand,Same-day visitors (excursionists),Departures,0.0
1996,Trinidad And Tobago,Overnights visitors (tourists),Departures,248.0
1996,Trinidad And Tobago,Same-day visitors (excursionists),Departures,0.0
1996,Tunisia,Overnights visitors (tourists),Departures,1.428
1996,Tunisia,Same-day visitors (excursionists),Departures,0.0
1996,Turkmenistan,Overnights visitors (tourists),Departures,29.0
1996,Turkmenistan,Same-day visitors (excursionists),Departures,0.0
1996,Türkiye,Overnights visitors (tourists),Departures,4.261
1996,Türkiye,Same-day visitors (excursionists),Departures,0.0
1996,Ukraine,Overnights visitors (tourists),Departures,6.004
1996,Ukraine,Same-day visitors (excursionists),Departures,0.0
1996,United States Of America,Overnights visitors (tourists),Departures,52.999
1996,United States Of America,Same-day visitors (excursionists),Departures,23.804
1996,Vanuatu,Overnights visitors (tourists),Departures,11.0
1996,Vanuatu,Same-day visitors (excursionists),Departures,0.0
1996,"Venezuela, Bolivarian Republic Of",Overnights visitors (tourists),Departures,511.0
1996,"Venezuela, Bolivarian Republic Of",Same-day visitors (excursionists),Departures,0.0
1996,Zimbabwe,Overnights visitors (tourists),Departures,69.0
1996,Zimbabwe,Same-day visitors (excursionists),Departures,0.0
1997,Algeria,Overnights visitors (tourists),Departures,827.0
1997,Algeria,Same-day visitors (excursionists),Departures,0.0
1997,Argentina,Overnights visitors (tourists),Departures,4.517
1997,Argentina,Same-day visitors (excursionists),Departures,0.0
1997,Bangladesh,Overnights visitors (tourists),Departures,866.0
1997,Bangladesh,Same-day visitors (excursionists),Departures,0.0
1997,Belarus,Overnights visitors (tourists),Departures,969.0
1997,Belarus,Same-day visitors (excursionists),Departures,0.0
1997,Belgium,Overnights visitors (tourists),Departures,7.548
1997,Belgium,Same-day visitors (excursionists),Departures,0.0
1997,"Bolivia, Plurinational State Of",Overnights visitors (tourists),Departures,285.0
1997,"Bolivia, Plurinational State Of",Same-day visitors (excursionists),Departures,0.0
1997,Brazil,Overnights visitors (tourists),Departures,4.014
1997,Brazil,Same-day visitors (excursionists),Departures,0.0
1997,Bulgaria,Overnights visitors (tourists),Departures,3.059
1997,Bulgaria,Same-day visitors (excursionists),Departures,0.0
1997,Burundi,Overnights visitors (tourists),Departures,10.0
1997,Burundi,Same-day visitors (excursionists),Departures,0.0
1997,Cambodia,Overnights visitors (tourists),Departures,45.0
1997,Cambodia,Same-day visitors (excursionists),Departures,0.0
1997,Canada,Overnights visitors (tourists),Departures,19.111
1997,Canada,Same-day visitors (excursionists),Departures,35.815
1997,China,Overnights visitors (tourists),Departures,5.324
1997,China,Same-day visitors (excursionists),Departures,0.0
1997,Colombia,Overnights visitors (tourists),Departures,1.071
1997,Colombia,Same-day visitors (excursionists),Departures,0.0
1997,Cook Islands,Overnights visitors (tourists),Departures,8.0
1997,Cook Islands,Same-day visitors (excursionists),Departures,0.0
1997,Costa Rica,Overnights visitors (tourists),Departures,288.0
1997,Costa Rica,Same-day visitors (excursionists),Departures,0.0
1997,Cuba,Overnights visitors (tourists),Departures,83.0
1997,Cuba,Same-day visitors (excursionists),Departures,0.0
1997,Denmark,Overnights visitors (tourists),Departures,4.693
1997,Denmark,Same-day visitors (excursionists),Departures,0.0
1997,Dominican Republic,Overnights visitors (tourists),Departures,355.0
1997,Dominican Republic,Same-day visitors (excursionists),Departures,0.0
1997,Ecuador,Overnights visitors (tourists),Departures,321.0
1997,Ecuador,Same-day visitors (excursionists),Departures,0.0
1997,Egypt,Overnights visitors (tourists),Departures,2.722
1997,Egypt,Same-day visitors (excursionists),Departures,0.0
1997,Estonia,Overnights visitors (tourists),Departures,1.616
1997,Estonia,Same-day visitors (excursionists),Departures,0.0
1997,Fiji,Overnights visitors (tourists),Departures,74.0
1997,Fiji,Same-day visitors (excursionists),Departures,0.0
1997,Finland,Overnights visitors (tourists),Departures,5.233
1997,Finland,Same-day visitors (excursionists),Departures,0.0
1997,France,Overnights visitors (tourists),Departures,17.115
1997,France,Same-day visitors (excursionists),Departures,0.0
1997,Georgia,Overnights visitors (tourists),Departures,355.0
1997,Georgia,Same-day visitors (excursionists),Departures,0.0
1997,Germany,Overnights visitors (tourists),Departures,55.8
1997,Germany,Same-day visitors (excursionists),Departures,0.0
1997,Honduras,Overnights visitors (tourists),Departures,183.0
1997,Honduras,Same-day visitors (excursionists),Departures,0.0
1997,Iceland,Overnights visitors (tourists),Departures,203.0
1997,Iceland,Same-day visitors (excursionists),Departures,0.0
1997,India,Overnights visitors (tourists),Departures,3.726
1997,India,Same-day visitors (excursionists),Departures,0.0
1997,"Iran, Islamic Republic Of",Overnights visitors (tourists),Departures,1.433
1997,"Iran, Islamic Republic Of",Same-day visitors (excursionists),Departures,0.0
1997,Israel,Overnights visitors (tourists),Departures,2.707
1997,Israel,Same-day visitors (excursionists),Departures,0.0
1997,Italy,Overnights visitors (tourists),Departures,17.254
1997,Italy,Same-day visitors (excursionists),Departures,22.942
1997,Jordan,Overnights visitors (tourists),Departures,1.233
1997,Jordan,Same-day visitors (excursionists),Departures,0.0
1997,Kazakhstan,Overnights visitors (tourists),Departures,419.0
1997,Kazakhstan,Same-day visitors (excursionists),Departures,0.0
1997,Kuwait,Overnights visitors (tourists),Departures,1.097
1997,Kuwait,Same-day visitors (excursionists),Departures,0.0
1997,Libya,Overnights visitors (tourists),Departures,650.0
1997,Libya,Same-day visitors (excursionists),Departures,0.0
1997,Lithuania,Overnights visitors (tourists),Departures,2.981
1997,Lithuania,Same-day visitors (excursionists),Departures,0.0
1997,Luxembourg,Overnights visitors (tourists),Departures,694.0
1997,Luxembourg,Same-day visitors (excursionists),Departures,0.0
1997,Maldives,Overnights visitors (tourists),Departures,33.0
1997,Maldives,Same-day visitors (excursionists),Departures,0.0
1997,Malta,Overnights visitors (tourists),Departures,172.0
1997,Malta,Same-day visitors (excursionists),Departures,0.0
1997,Mauritius,Overnights visitors (tourists),Departures,132.0
1997,Mauritius,Same-day visitors (excursionists),Departures,0.0
1997,Mexico,Overnights visitors (tourists),Departures,8.91
1997,Mexico,Same-day visitors (excursionists),Departures,98.332
1997,"Moldova, Republic Of",Overnights visitors (tourists),Departures,35.0
1997,"Moldova, Republic Of",Same-day visitors (excursionists),Departures,0.0
1997,Morocco,Overnights visitors (tourists),Departures,1.203
1997,Morocco,Same-day visitors (excursionists),Departures,0.0
1997,Nepal,Overnights visitors (tourists),Departures,132.0
1997,Nepal,Same-day visitors (excursionists),Departures,0.0
1997,Netherlands,Overnights visitors (tourists),Departures,12.858
1997,Netherlands,Same-day visitors (excursionists),Departures,0.0
1997,New Caledonia,Overnights visitors (tourists),Departures,63.0
1997,New Caledonia,Same-day visitors (excursionists),Departures,0.0
1997,New Zealand,Overnights visitors (tourists),Departures,1.132
1997,New Zealand,Same-day visitors (excursionists),Departures,0.0
1997,Nicaragua,Overnights visitors (tourists),Departures,330.0
1997,Nicaragua,Same-day visitors (excursionists),Departures,0.0
1997,Niger,Overnights visitors (tourists),Departures,10.0
1997,Niger,Same-day visitors (excursionists),Departures,0.0
1997,Norway,Overnights visitors (tourists),Departures,753.0
1997,Norway,Same-day visitors (excursionists),Departures,0.0
1997,Panama,Overnights visitors (tourists),Departures,194.0
1997,Panama,Same-day visitors (excursionists),Departures,0.0
1997,Papua New Guinea,Overnights visitors (tourists),Departures,64.0
1997,Papua New Guinea,Same-day visitors (excursionists),Departures,0.0
1997,Paraguay,Overnights visitors (tourists),Departures,369.0
1997,Paraguay,Same-day visitors (excursionists),Departures,0.0
1997,Peru,Overnights visitors (tourists),Departures,577.0
1997,Peru,Same-day visitors (excursionists),Departures,0.0
1997,Philippines,Overnights visitors (tourists),Departures,1.93
1997,Philippines,Same-day visitors (excursionists),Departures,0.0
1997,Puerto Rico,Overnights visitors (tourists),Departures,1.251
1997,Puerto Rico,Same-day visitors (excursionists),Departures,0.0
1997,Seychelles,Overnights visitors (tourists),Departures,30.0
1997,Seychelles,Same-day visitors (excursionists),Departures,0.0
1997,Sierra Leone,Overnights visitors (tourists),Departures,6.0
1997,Sierra Leone,Same-day visitors (excursionists),Departures,0.0
1997,Singapore,Overnights visitors (tourists),Departures,3.671
1997,Singapore,Same-day visitors (excursionists),Departures,0.0
1997,Sri Lanka,Overnights visitors (tourists),Departures,531.0
1997,Sri Lanka,Same-day visitors (excursionists),Departures,0.0
1997,Sweden,Overnights visitors (tourists),Departures,10.818
1997,Sweden,Same-day visitors (excursionists),Departures,0.0
1997,Switzerland,Overnights visitors (tourists),Departures,12.515
1997,Switzerland,Same-day visitors (excursionists),Departures,0.0
1997,Syrian Arab Republic,Overnights visitors (tourists),Departures,2.299
1997,Syrian Arab Republic,Same-day visitors (excursionists),Departures,0.0
1997,Thailand,Overnights visitors (tourists),Departures,1.66
1997,Thailand,Same-day visitors (excursionists),Departures,0.0
1997,Tunisia,Overnights visitors (tourists),Departures,1.381
1997,Tunisia,Same-day visitors (excursionists),Departures,0.0
1997,Turkmenistan,Overnights visitors (tourists),Departures,31.0
1997,Turkmenistan,Same-day visitors (excursionists),Departures,0.0
1997,Türkiye,Overnights visitors (tourists),Departures,4.633
1997,Türkiye,Same-day visitors (excursionists),Departures,0.0
1997,Uganda,Overnights visitors (tourists),Departures,148.0
1997,Uganda,Same-day visitors (excursionists),Departures,0.0
1997,Ukraine,Overnights visitors (tourists),Departures,9.632
1997,Ukraine,Same-day visitors (excursionists),Departures,0.0
1997,United States Of America,Overnights visitors (tourists),Departures,53.229
1997,United States Of America,Same-day visitors (excursionists),Departures,25.252
1997,Uruguay,Overnights visitors (tourists),Departures,562.0
1997,Uruguay,Same-day visitors (excursionists),Departures,0.0
1997,Vanuatu,Overnights visitors (tourists),Departures,11.0
1997,Vanuatu,Same-day visitors (excursionists),Departures,0.0
1997,"Venezuela, Bolivarian Republic Of",Overnights visitors (tourists),Departures,460.0
1997,"Venezuela, Bolivarian Republic Of",Same-day visitors (excursionists),Departures,0.0
1997,Zimbabwe,Overnights visitors (tourists),Departures,123.0
1997,Zimbabwe,Same-day visitors (excursionists),Departures,0.0
1998,Algeria,Overnights visitors (tourists),Departures,879.0
1998,Algeria,Same-day visitors (excursionists),Departures,0.0
1998,Argentina,Overnights visitors (tourists),Departures,4.592
1998,Argentina,Same-day visitors (excursionists),Departures,0.0
1998,Bangladesh,Overnights visitors (tourists),Departures,992.0
1998,Bangladesh,Same-day visitors (excursionists),Departures,0.0
1998,Belarus,Overnights visitors (tourists),Departures,901.0
1998,Belarus,Same-day visitors (excursionists),Departures,0.0
1998,Belgium,Overnights visitors (tourists),Departures,7.776
1998,Belgium,Same-day visitors (excursionists),Departures,0.0
1998,"Bolivia, Plurinational State Of",Overnights visitors (tourists),Departures,299.0
1998,"Bolivia, Plurinational State Of",Same-day visitors (excursionists),Departures,0.0
1998,Brazil,Overnights visitors (tourists),Departures,4.171
1998,Brazil,Same-day visitors (excursionists),Departures,0.0
1998,Bulgaria,Overnights visitors (tourists),Departures,2.592
1998,Bulgaria,Same-day visitors (excursionists),Departures,0.0
1998,Burundi,Overnights visitors (tourists),Departures,16.0
1998,Burundi,Same-day visitors (excursionists),Departures,0.0
1998,Cambodia,Overnights visitors (tourists),Departures,41.0
1998,Cambodia,Same-day visitors (excursionists),Departures,0.0
1998,Canada,Overnights visitors (tourists),Departures,17.648
1998,Canada,Same-day visitors (excursionists),Departures,29.337
1998,China,Overnights visitors (tourists),Departures,8.426
1998,China,Same-day visitors (excursionists),Departures,0.0
1998,Colombia,Overnights visitors (tourists),Departures,1.093
