sentiment,topic_id,document_count,percentage_in_sentiment,language_count,dominant_language,languages,is_multilingual,top_cities,top_categories,year_range,sample_text
positivo,12,8015,2.46,12,es,"{'es': 4742, 'en': 2742, 'fr': 188, 'it': 159, 'de': 88, 'pt': 30, 'nl': 24, 'pl': 16, 'ro': 5, 'tr': 3, 'ca': 3, 'no': 3, 'ja': 2, 'el': 1, 'af': 1, 'ru': 1, 'et': 1, 'da': 1, 'hr': 1, 'ko': 1, 'hu': 1, 'zh-cn': 1, 'sv': 1}",True,"{'Barcelona': 2817, 'Madrid': 2217, 'Sevilla': 909, 'Malaga': 611, 'Tenerife': 535}","{'Tour': 5093, 'Playa': 910, 'Desconocido': 629}","{'start': 2011, 'end': 2025}",It was a breathtaking experience for us.
neutro,0,7405,1.74,13,en,"{'en': 6406, 'es': 520, 'ca': 171, 'fr': 156, 'it': 52, 'pt': 33, 'de': 16, 'nl': 15, 'pl': 5, 'he': 5, 'cs': 4, 'hu': 3, 'sk': 3, 'sv': 2, 'ko': 2, 'no': 2, 'zh-tw': 2, 'af': 1, 'zh-cn': 1, 'mk': 1, 'fi': 1, 'lt': 1, 'el': 1, 'ru': 1, 'id': 1}",True,"{'Barcelona': 1524, 'Madrid': 1185, 'Sevilla': 1098, 'Mallorca': 1047, 'Valencia': 936}","{'Tour': 2798, 'Ocio': 2175, 'Desconocido': 1447}","{'start': 2009, 'end': 2025}","j’ai choisi d’y aller vers 15h un mardi, il y avait du monde bien entendu mais en prenant le billet à l’avance on ne fait pas trop la queue et l’audio-guide sur le téléphone est vraiment indispensable selon moi (pensez à prendre des écouteurs, beaucoup de gens ne le font pas et mettent le son à fond..."
positivo,11,7255,2.22,9,es,"{'es': 4039, 'en': 2721, 'fr': 185, 'de': 113, 'it': 110, 'pt': 74, 'nl': 3, 'ar': 2, 'ca': 2, 'ru': 2, 'pl': 2, 'sk': 1, 'sv': 1}",True,"{'Barcelona': 2445, 'Madrid': 2232, 'Sevilla': 612, 'Gran Canaria': 516, 'Malaga': 490}","{'Tour': 4678, 'Playa': 810, 'Hotel': 438}","{'start': 2010, 'end': 2025}","Extraordinaria en su dimensión material como espiritual, el museo completa la visita con la historia y maquetas de la arquitectura."
neutro,20,6744,1.59,12,en,"{'en': 6127, 'es': 253, 'ca': 194, 'fr': 69, 'de': 33, 'nl': 19, 'it': 15, 'ru': 8, 'cs': 5, 'sv': 3, 'da': 3, 'pl': 3, 'pt': 3, 'fi': 3, 'hu': 2, 'el': 2, 'af': 1, 'no': 1}",True,"{'Madrid': 1126, 'Mallorca': 1062, 'Valencia': 991, 'Barcelona': 946, 'Sevilla': 891}","{'Tour': 2981, 'Ocio': 1803, 'Desconocido': 1187}","{'start': 2018, 'end': 2025}","I enjoyed the visit to Park Güell however, I found it over crowded as there were a lot of group tours which was disruptive."
positivo,26,6543,2.01,11,es,"{'es': 3918, 'en': 2191, 'fr': 166, 'it': 124, 'de': 65, 'pt': 31, 'pl': 12, 'nl': 11, 'fi': 4, 'sl': 4, 'ro': 4, 'af': 3, 'hr': 2, 'bg': 2, 'no': 2, 'da': 2, 'el': 2}",True,"{'Barcelona': 2305, 'Madrid': 1963, 'Sevilla': 805, 'Tenerife': 552, 'Malaga': 409}","{'Tour': 3545, 'Playa': 869, 'Hotel': 526}","{'start': 2011, 'end': 2025}","Excellent, Park Guell and Sagrada Familia are the two places needed to visit in Barcelona."
neutro,24,6396,1.51,12,en,"{'en': 5692, 'es': 298, 'ca': 221, 'fr': 99, 'de': 27, 'nl': 25, 'it': 9, 'pl': 5, 'pt': 4, 'sv': 4, 'cs': 3, 'da': 2, 'ru': 2, 'af': 2, 'fi': 1, 'no': 1, 'ro': 1}",True,"{'Barcelona': 1037, 'Madrid': 943, 'Mallorca': 940, 'Valencia': 901, 'Sevilla': 850}","{'Ocio': 2050, 'Tour': 1729, 'Desconocido': 1716}","{'start': 2019, 'end': 2025}","La struttura si trova in una posizione perfetta per visitare Barcellona. Il personale gentile e cortese, camera pulita ma la colazione è decisamente da migliorare."
neutro,16,6160,1.45,12,en,"{'en': 5619, 'es': 197, 'ca': 152, 'fr': 77, 'it': 39, 'pt': 28, 'de': 17, 'nl': 7, 'el': 6, 'hu': 3, 'sl': 3, 'pl': 2, 'hr': 2, 'ar': 2, 'bg': 1, 'ko': 1, 'et': 1, 'ro': 1, 'da': 1, 'ru': 1}",True,"{'Madrid': 956, 'Valencia': 931, 'Mallorca': 870, 'Barcelona': 813, 'Malaga': 769}","{'Tour': 2142, 'Desconocido': 1757, 'Ocio': 1518}","{'start': 2019, 'end': 2025}","Senza una guida è difficile muoversi..non ci sono spiegazioni ed è piuttosto affollato.Non lo consiglio,soprattutto con il caldo di questo luglio."
positivo,20,5954,1.82,11,es,"{'es': 3336, 'en': 2243, 'fr': 134, 'it': 112, 'de': 51, 'pt': 49, 'ro': 5, 'pl': 5, 'ar': 4, 'nl': 4, 'ru': 3, 'ca': 3, 'hr': 2, 'ja': 2, 'no': 1}",True,"{'Barcelona': 2160, 'Madrid': 1657, 'Sevilla': 743, 'Tenerife': 415, 'Malaga': 360}","{'Tour': 3768, 'Desconocido': 557, 'Playa': 395}","{'start': 2012, 'end': 2025}",Really easy and beautiful experience with this.
neutro,46,5930,1.4,10,en,"{'en': 5406, 'es': 222, 'ca': 173, 'fr': 42, 'de': 26, 'it': 15, 'pt': 13, 'pl': 13, 'nl': 6, 'ja': 2, 'el': 2, 'he': 2, 'fi': 2, 'no': 1, 'hu': 1, 'sv': 1, 'ru': 1, 'bg': 1, 'da': 1}",True,"{'Madrid': 1047, 'Valencia': 984, 'Barcelona': 905, 'Sevilla': 889, 'Malaga': 765}","{'Desconocido': 1855, 'Ocio': 1805, 'Tour': 1514}","{'start': 2013, 'end': 2025}","The ride through Lisbon was very bumpy and not as enjoyable for that reason. The tour guide was friendly, knowledgeable and we enjoyed seeing the historical part of Lisbon; although, would have preferred a more comfortable riding experience."
negativo,0,5785,5.69,16,en,"{'en': 2483, 'es': 2237, 'fr': 404, 'de': 263, 'it': 245, 'pt': 46, 'nl': 26, 'pl': 13, 'ca': 9, 'ru': 8, 'he': 6, 'ar': 6, 'sv': 5, 'ro': 4, 'tr': 4, 'ko': 4, 'no': 3, 'cs': 2, 'tl': 2, 'da': 2, 'hr': 2, 'bg': 2, 'el': 2, 'af': 1, 'mk': 1, 'sk': 1, 'sl': 1, 'fi': 1, 'lv': 1, 'hu': 1}",True,"{'Madrid': 2734, 'Barcelona': 1495, 'Malaga': 594, 'Valencia': 392, 'Sevilla': 203}","{'Tour': 2941, 'Desconocido': 756, 'Playa': 740}","{'start': 2012, 'end': 2025}","Nous sommes arrivés en retard et le monsieur à l’accueil a été inflexible ! Heureusement, nous avons eu affaire à quelqu’un de plus compréhensif à un accès. Pour cette raison, ma mère qui marche très difficilement n’a pas eu accès à l’ascenseur et a dû monter les escaliers …, Nous sommes arrivés en ..."
neutro,21,5743,1.35,11,en,"{'en': 5319, 'es': 215, 'ca': 105, 'fr': 34, 'de': 23, 'nl': 16, 'pl': 6, 'pt': 6, 'it': 5, 'hu': 3, 'fi': 2, 'zh-cn': 1, 'ro': 1, 'sk': 1, 'da': 1, 'lv': 1, 'af': 1, 'ko': 1, 'ru': 1, 'el': 1}",True,"{'Madrid': 983, 'Sevilla': 906, 'Valencia': 862, 'Malaga': 778, 'Barcelona': 750}","{'Tour': 2082, 'Desconocido': 1788, 'Ocio': 1280}","{'start': 2022, 'end': 2025}",Personale all'accettazione a dir poco arrogante e scostumato. Nonostante comprendeva benissimo la lingua italiana si è comportato da vero cafone
neutro,32,5565,1.31,11,en,"{'en': 5153, 'ca': 187, 'es': 110, 'fr': 42, 'pt': 23, 'de': 12, 'nl': 10, 'it': 8, 'el': 3, 'ar': 3, 'he': 2, 'ko': 2, 'zh-tw': 2, 'uk': 1, 'af': 1, 'hu': 1, 'hr': 1, 'fi': 1, 'no': 1, 'pl': 1, 'sk': 1}",True,"{'Madrid': 888, 'Sevilla': 886, 'Valencia': 787, 'Barcelona': 765, 'Mallorca': 660}","{'Desconocido': 1927, 'Tour': 1906, 'Ocio': 1099}","{'start': 2019, 'end': 2025}","Tour was mid, you can definitely just buy a ticket without tickets tour guide. He gave some information, but you can just read about it around the museum."
positivo,3,5499,1.69,12,es,"{'es': 2954, 'en': 2210, 'it': 98, 'fr': 93, 'de': 66, 'nl': 21, 'pt': 19, 'pl': 7, 'ja': 5, 'sv': 5, 'ru': 4, 'da': 4, 'cs': 4, 'zh-cn': 2, 'tr': 2, 'no': 2, 'lt': 1, 'ro': 1, 'ko': 1}",True,"{'Barcelona': 2007, 'Madrid': 1311, 'Sevilla': 584, 'Gran Canaria': 490, 'Malaga': 378}","{'Tour': 3155, 'Playa': 555, 'Desconocido': 490}","{'start': 2013, 'end': 2025}",It was an amazing experience!! The audio guide and the corresponding signs were helping you to understand what you see and the story behind it. Surely it was worth the time and money to visit the Sagrada Familia. The colourful windows were giving a magical light in the basilica and the peaceful musi...
neutro,4,5385,1.27,9,en,"{'en': 5046, 'es': 139, 'ca': 72, 'fr': 53, 'de': 23, 'pt': 16, 'nl': 16, 'it': 10, 'zh-cn': 2, 'lt': 2, 'pl': 2, 'hu': 1, 'fi': 1, 'ru': 1, 'sl': 1}",True,"{'Madrid': 879, 'Valencia': 878, 'Sevilla': 834, 'Barcelona': 776, 'Malaga': 671}","{'Desconocido': 1677, 'Tour': 1588, 'Ocio': 1555}","{'start': 2017, 'end': 2025}",Trovato biglietti solo x ingresso alle 19.15. Alle 20 chiusura!!!! Saltato alcune spiegazioni sennò non facevamo in tempo. Visto tutto di corsa
neutro,23,5267,1.24,11,en,"{'en': 4814, 'es': 170, 'ca': 130, 'fr': 79, 'de': 30, 'pt': 13, 'it': 10, 'nl': 8, 'pl': 5, 'sv': 5, 'no': 2, 'da': 1}",True,"{'Valencia': 848, 'Madrid': 843, 'Sevilla': 771, 'Mallorca': 741, 'Barcelona': 738}","{'Tour': 1826, 'Desconocido': 1606, 'Ocio': 1269}","{'start': 2014, 'end': 2025}",Difficile de s orienter si on ne metrise pas l espagnol
positivo,6,5210,1.6,11,es,"{'es': 2897, 'en': 1814, 'fr': 176, 'it': 156, 'de': 105, 'nl': 19, 'pt': 15, 'ro': 4, 'ca': 4, 'el': 3, 'hr': 3, 'tr': 2, 'pl': 2, 'no': 2, 'ko': 2, 'ru': 2, 'ar': 2, 'da': 1, 'sv': 1}",True,"{'Barcelona': 1882, 'Madrid': 1310, 'Sevilla': 582, 'Malaga': 346, 'Mallorca': 323}","{'Tour': 3269, 'Desconocido': 501, 'Playa': 471}","{'start': 2012, 'end': 2025}","Although the inside was of interest, the outside tells the Story of Christ from Birth, Crucifixion, and Resurrection in Stone, spent alot more time outside than inside"
neutro,2,5114,1.2,11,en,"{'en': 4723, 'es': 153, 'fr': 90, 'ca': 62, 'it': 25, 'de': 18, 'pt': 13, 'nl': 8, 'tr': 3, 'cs': 3, 'ko': 3, 'da': 3, 'pl': 2, 'ru': 2, 'lv': 2, 'lt': 2, 'sk': 1, 'ro': 1}",True,"{'Madrid': 859, 'Valencia': 858, 'Sevilla': 756, 'Barcelona': 691, 'Malaga': 593}","{'Desconocido': 1711, 'Tour': 1608, 'Ocio': 1232}","{'start': 2015, 'end': 2025}",Estremamente costoso! Questa è l’unica cosa negativa. Per il resto è stata un’esperienza bellissima.
neutro,33,4997,1.18,9,en,"{'en': 4564, 'ca': 165, 'es': 131, 'fr': 80, 'de': 24, 'nl': 10, 'it': 3, 'da': 3, 'pt': 3, 'pl': 2, 'tr': 2, 'cs': 1, 'bg': 1, 'sv': 1, 'ja': 1, 'el': 1, 'sk': 1, 'ko': 1, 'ru': 1, 'hr': 1, 'no': 1}",True,"{'Valencia': 843, 'Madrid': 822, 'Sevilla': 753, 'Barcelona': 724, 'Malaga': 658}","{'Ocio': 1532, 'Tour': 1500, 'Desconocido': 1436}","{'start': 2016, 'end': 2025}","The tour itself was well organized to obtain tickets for scanning with good directions. After seeing Casa Battlo we were not impressed with the audio guide for this tour so took away one star, but I think this was related to the venue itself and not Viator."
neutro,22,4881,1.15,12,en,"{'en': 4487, 'es': 169, 'ca': 87, 'fr': 82, 'de': 13, 'nl': 10, 'it': 6, 'pt': 5, 'fi': 4, 'tr': 4, 'pl': 3, 'ro': 3, 'af': 2, 'ko': 2, 'hu': 1, 'cs': 1, 'hr': 1, 'ru': 1}",True,"{'Valencia': 856, 'Madrid': 818, 'Sevilla': 696, 'Barcelona': 621, 'Gran Canaria': 531}","{'Tour': 1764, 'Desconocido': 1366, 'Ocio': 1202}","{'start': 2014, 'end': 2025}",Depuis la place de Catalogne prendre le bus n 24 a côté du magasin apple Bus direct pour 2.6€
positivo,5,4807,1.47,10,es,"{'es': 2920, 'en': 1560, 'fr': 111, 'it': 88, 'de': 68, 'pt': 30, 'nl': 13, 'af': 3, 'pl': 2, 'ar': 2, 'ro': 2, 'el': 2, 'ru': 2, 'lv': 2, 'fi': 1, 'hr': 1}",True,"{'Barcelona': 1747, 'Madrid': 1228, 'Sevilla': 559, 'Tenerife': 405, 'Malaga': 348}","{'Tour': 2710, 'Desconocido': 533, 'Playa': 513}","{'start': 2012, 'end': 2025}","Die Sagrada Familia ist unglaublich beeindruckend. Wir haben schon viele imposante Kirchen (z. B. Petesdom, Kölner Dom, usw.) gesehen, aber die Sagrada Familia toppt alles. Ganz anders als jede andere Kirche - sehr sehr schön. Ein MUSS für jeden Barcelona-Reisenden"
neutro,18,4770,1.12,11,en,"{'en': 4421, 'es': 164, 'fr': 70, 'ca': 62, 'de': 18, 'it': 12, 'pt': 7, 'nl': 4, 'pl': 3, 'da': 2, 'cs': 2, 'ro': 1, 'ja': 1, 'sv': 1, 'lv': 1, 'ko': 1}",True,"{'Madrid': 864, 'Barcelona': 752, 'Sevilla': 710, 'Valencia': 709, 'Malaga': 489}","{'Tour': 1869, 'Ocio': 1226, 'Desconocido': 1138}","{'start': 2013, 'end': 2025}",Purtroppo pioveva
neutro,3,4683,1.1,10,en,"{'en': 4283, 'ca': 142, 'es': 140, 'fr': 63, 'it': 15, 'pt': 14, 'da': 8, 'de': 5, 'nl': 2, 'ru': 2, 'lv': 2, 'bg': 1, 'pl': 1, 'tr': 1, 'fi': 1, 'uk': 1, 'ro': 1, 'af': 1}",True,"{'Madrid': 785, 'Sevilla': 763, 'Valencia': 730, 'Barcelona': 600, 'Gran Canaria': 500}","{'Desconocido': 1601, 'Tour': 1568, 'Ocio': 988}","{'start': 2021, 'end': 2025}","Sagrada Familia is all about the size, inside and outside. There are many features of the Gaudi’s work that make this place different than other religious buildings. However, it is easy to see that work on the basilica is far from over. Try to avoid going to see basilica on the hot summer day."
neutro,39,4599,1.08,11,en,"{'en': 4342, 'ca': 104, 'es': 72, 'fr': 35, 'pt': 15, 'de': 9, 'it': 6, 'cs': 4, 'nl': 3, 'ar': 2, 'ro': 2, 'sk': 1, 'ko': 1, 'hu': 1, 'pl': 1, 'tr': 1}",True,"{'Valencia': 757, 'Madrid': 715, 'Sevilla': 687, 'Barcelona': 547, 'Gran Canaria': 505}","{'Tour': 1458, 'Desconocido': 1407, 'Ocio': 1323}","{'start': 2019, 'end': 2025}","We went on Thursday and would recommend going mid/week as opposed to a weekend. Lots of people outside, but the numbers inside the church were well-managed and it didn’t feel overly crowded."
neutro,31,4501,1.06,11,en,"{'en': 4272, 'es': 99, 'ca': 47, 'fr': 34, 'de': 14, 'it': 10, 'nl': 6, 'da': 4, 'sv': 3, 'no': 2, 'tr': 2, 'el': 2, 'pt': 2, 'ja': 1, 'ru': 1, 'pl': 1, 'fi': 1}",True,"{'Madrid': 903, 'Valencia': 786, 'Sevilla': 660, 'Barcelona': 543, 'Malaga': 498}","{'Tour': 1472, 'Ocio': 1284, 'Desconocido': 1259}","{'start': 2016, 'end': 2025}","The park is gorgeous, the tour is a little lacking as you explore very little of it with the guide ande therefore he explains only a bit."
positivo,21,4487,1.38,11,es,"{'es': 2684, 'en': 1563, 'fr': 75, 'it': 70, 'de': 41, 'pt': 16, 'nl': 6, 'no': 4, 'ro': 4, 'pl': 4, 'ru': 3, 'fi': 3, 'af': 2, 'da': 2, 'tl': 2, 'lt': 2, 'tr': 1, 'cy': 1, 'hu': 1, 'sv': 1, 'bg': 1, 'ar': 1}",True,"{'Barcelona': 1635, 'Madrid': 1165, 'Sevilla': 562, 'Tenerife': 358, 'Malaga': 252}","{'Tour': 2842, 'Desconocido': 408, 'Playa': 314}","{'start': 2011, 'end': 2025}",Very helpful staff; went beyond what was necessary. They were the best!
neutro,40,4423,1.04,10,en,"{'en': 4020, 'ca': 168, 'es': 126, 'fr': 72, 'nl': 11, 'pt': 5, 'de': 4, 'el': 4, 'pl': 3, 'zh-tw': 2, 'ru': 2, 'tr': 1, 'uk': 1, 'fi': 1, 'sv': 1, 'ar': 1, 'cs': 1}",True,"{'Sevilla': 693, 'Madrid': 648, 'Valencia': 644, 'Barcelona': 564, 'Gran Canaria': 560}","{'Tour': 1665, 'Desconocido': 1486, 'Ocio': 828}","{'start': 2022, 'end': 2025}","Guide Berta was excellent. Tapas were mediocre, wine was very good. Expected to hear more about the winery from staff rather than just from our guide."
neutro,6,4328,1.02,11,en,"{'en': 3865, 'ca': 194, 'es': 113, 'fr': 108, 'it': 14, 'pt': 10, 'de': 6, 'nl': 4, 'ko': 4, 'pl': 3, 'hu': 2, 'lv': 1, 'zh-tw': 1, 'tr': 1, 'ro': 1, 'fi': 1}",True,"{'Madrid': 791, 'Valencia': 756, 'Sevilla': 696, 'Barcelona': 561, 'Mallorca': 470}","{'Tour': 1826, 'Desconocido': 1213, 'Ocio': 975}","{'start': 2022, 'end': 2025}",The audio tour was okay but it would have been better to invest in a guided tour.
neutro,44,4251,1.0,9,en,"{'en': 3856, 'es': 135, 'fr': 127, 'ca': 97, 'de': 8, 'pt': 6, 'nl': 4, 'pl': 4, 'el': 2, 'ko': 2, 'tr': 2, 'it': 2, 'ru': 1, 'sv': 1, 'ar': 1, 'lv': 1, 'hr': 1, 'ja': 1}",True,"{'Madrid': 706, 'Valencia': 697, 'Sevilla': 657, 'Barcelona': 480, 'Malaga': 470}","{'Tour': 1567, 'Desconocido': 1160, 'Ocio': 1156}","{'start': 2012, 'end': 2025}",It says max 20 people - that is 20 people per guide and 3 guides on the bus. Therefore FULL bus . Not what I was expecting. Our guide “Lesly” was very good
positivo,24,4224,1.29,12,es,"{'es': 2596, 'en': 1347, 'fr': 110, 'it': 75, 'de': 42, 'pt': 12, 'pl': 11, 'nl': 10, 'ko': 6, 'cs': 5, 'zh-cn': 3, 'hr': 1, 'tr': 1, 'ru': 1, 'no': 1, 'sv': 1, 'mk': 1, 'da': 1}",True,"{'Barcelona': 1518, 'Madrid': 1158, 'Sevilla': 536, 'Malaga': 313, 'Tenerife': 253}","{'Tour': 2713, 'Playa': 321, 'Desconocido': 307}","{'start': 2012, 'end': 2025}",Vale da sola il viaggio a Barcellona. Organizzazione molto efficiente.
neutro,9,4189,0.99,10,en,"{'en': 3677, 'es': 181, 'ca': 145, 'fr': 140, 'it': 13, 'ar': 8, 'nl': 4, 'de': 4, 'af': 3, 'pt': 3, 'da': 2, 'ru': 2, 'he': 2, 'cs': 2, 'pl': 1, 'uk': 1, 'hu': 1}",True,"{'Madrid': 721, 'Sevilla': 720, 'Valencia': 666, 'Gran Canaria': 532, 'Barcelona': 516}","{'Tour': 1531, 'Desconocido': 1413, 'Ocio': 737}","{'start': 2020, 'end': 2025}",Non si capisce alla prenotazione che le torri sono a parte ! Non è spiegato bene
